601608 中信重工 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2012/07/06	4.58	4.78	4.52	4.68	359463952	1708242944.00
2012/07/09	4.67	4.71	4.21	4.29	187025000	852177792.00
2012/07/10	4.16	4.22	4.06	4.08	94666568	402104320.00
2012/07/11	4.06	4.50	4.04	4.33	165242883	739080064.00
2012/07/12	4.26	4.39	4.18	4.36	97483216	427934400.00
2012/07/13	4.32	4.37	4.24	4.28	63238305	278906400.00
2012/07/16	4.29	4.30	4.07	4.09	58150874	246768032.00
2012/07/17	4.07	4.23	4.04	4.16	52549666	224670528.00
2012/07/18	4.11	4.44	4.06	4.38	83153054	360682880.00
2012/07/19	4.31	4.48	4.30	4.33	85041782	383068896.00
2012/07/20	4.30	4.41	4.25	4.33	51215600	226952208.00
2012/07/23	4.29	4.54	4.27	4.43	63731479	288844384.00
2012/07/24	4.38	4.46	4.30	4.45	67465496	303582944.00
2012/07/25	4.40	4.54	4.34	4.37	55601275	252612768.00
2012/07/26	4.34	4.77	4.32	4.55	154261697	726129792.00
2012/07/27	4.53	4.66	4.46	4.52	85968467	400696320.00
2012/07/30	4.53	4.73	4.48	4.62	88511917	418752544.00
2012/07/31	4.59	4.60	4.15	4.15	125863931	558856256.00
2012/08/01	4.08	4.22	4.01	4.16	70185186	298274368.00
2012/08/02	4.11	4.19	4.05	4.13	43199554	182603200.00
2012/08/03	4.13	4.22	4.11	4.20	51362392	219884864.00
2012/08/06	4.16	4.24	4.13	4.22	58663096	252236640.00
2012/08/07	4.22	4.26	4.19	4.22	46170805	199913328.00
2012/08/08	4.21	4.35	4.18	4.27	64807367	283809632.00
2012/08/09	4.24	4.34	4.21	4.32	61071099	267867424.00
2012/08/10	4.29	4.44	4.29	4.31	59267813	264316992.00
2012/08/13	4.28	4.30	4.11	4.14	45074717	194414624.00
2012/08/14	4.11	4.16	4.05	4.15	36390468	153433312.00
2012/08/15	4.12	4.15	4.04	4.04	32833581	137802576.00
2012/08/16	4.06	4.08	4.04	4.06	17393111	72476160.00
2012/08/17	4.06	4.07	3.98	4.02	28332129	116698544.00
2012/08/20	3.99	4.01	3.93	3.98	22184544	90306968.00
2012/08/21	3.96	4.03	3.95	4.00	26421540	108252920.00
2012/08/22	3.99	4.00	3.92	3.95	21205873	86423832.00
2012/08/23	3.94	4.04	3.94	3.99	28072028	115112112.00
2012/08/24	3.96	3.98	3.90	3.91	24404106	98760688.00
2012/08/27	3.88	3.88	3.77	3.80	25260293	99242992.00
2012/08/28	3.79	3.87	3.76	3.82	22106064	86775048.00
2012/08/29	3.80	3.81	3.69	3.70	26096481	100682280.00
2012/08/30	3.69	3.74	3.60	3.64	23136025	87348384.00
2012/08/31	3.63	3.70	3.62	3.66	12783245	48104560.00
2012/09/03	3.65	3.73	3.63	3.69	15829024	60077984.00
2012/09/04	3.70	3.71	3.61	3.62	13988997	52729532.00
2012/09/05	3.62	3.64	3.58	3.62	14177309	52637944.00
2012/09/06	3.62	3.81	3.62	3.77	34368682	132001224.00
2012/09/07	3.78	3.99	3.75	3.95	67937730	271826400.00
2012/09/10	3.93	3.96	3.88	3.91	38772653	156074336.00
2012/09/11	3.88	3.89	3.79	3.83	27539338	108704248.00
2012/09/12	3.86	3.90	3.79	3.90	23643777	93434552.00
2012/09/13	3.89	3.89	3.79	3.80	20735801	82158912.00
