601668 中国建筑 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/10	3.08	3.08	2.92	2.94	74474790	247337120.00
2011/10/11	3.00	3.01	2.88	2.92	103308920	336646560.00
2011/10/12	2.91	3.00	2.88	2.99	98469533	324463040.00
2011/10/13	2.98	3.03	2.98	3.02	69493494	231441856.00
2011/10/14	3.00	3.02	2.97	2.99	32393528	107483112.00
2011/10/17	2.98	3.02	2.98	2.99	31535265	105055792.00
2011/10/18	2.99	3.00	2.91	2.92	46380226	152278784.00
2011/10/19	2.92	2.96	2.91	2.92	30157392	98299928.00
2011/10/20	2.92	2.93	2.78	2.81	106330053	336866976.00
2011/10/21	2.81	2.84	2.79	2.81	33385155	104938200.00
2011/10/24	2.81	2.86	2.76	2.84	65304752	205505952.00
2011/10/25	2.85	2.92	2.78	2.87	127706800	407352160.00
2011/10/26	2.86	2.96	2.85	2.92	122400694	398919968.00
2011/10/27	2.93	2.96	2.92	2.94	46925859	153337504.00
2011/10/28	2.98	3.11	2.98	3.06	166106693	561147904.00
2011/10/31	3.05	3.05	3.01	3.02	60009593	201484832.00
2011/11/01	3.00	3.09	2.99	3.03	101203435	341721792.00
2011/11/02	3.00	3.11	2.98	3.10	86425860	292087072.00
2011/11/03	3.09	3.12	3.05	3.05	105338022	359027616.00
2011/11/04	3.08	3.12	3.06	3.08	61431265	210054640.00
2011/11/07	3.07	3.08	3.02	3.03	38635309	130475216.00
2011/11/08	3.05	3.05	2.98	3.01	54190964	181037808.00
2011/11/09	3.03	3.05	2.99	3.02	31154903	104296504.00
2011/11/10	2.99	3.01	2.91	2.92	81734777	268986240.00
2011/11/11	2.92	2.97	2.87	2.90	92831951	299881472.00
2011/11/14	2.91	2.96	2.91	2.95	52557978	171748880.00
2011/11/15	2.94	2.95	2.91	2.94	35198571	114624704.00
2011/11/16	2.94	2.94	2.85	2.87	62226001	199714240.00
2011/11/17	2.87	2.88	2.84	2.85	43256993	137803824.00
2011/11/18	2.84	2.85	2.79	2.81	61957086	195127360.00
2011/11/21	2.82	2.83	2.78	2.81	32294701	101182736.00
2011/11/22	2.80	2.84	2.79	2.82	29068017	91542240.00
2011/11/23	2.82	2.83	2.78	2.79	34224116	107134488.00
2011/11/24	2.79	2.84	2.78	2.81	33368022	104751232.00
2011/11/25	2.81	2.82	2.79	2.80	25372574	79476440.00
2011/11/28	2.81	2.82	2.79	2.80	25322880	79469480.00
2011/11/29	2.82	2.83	2.79	2.82	42461827	133403896.00
2011/11/30	2.80	2.82	2.72	2.73	81032706	249680944.00
2011/12/01	2.78	2.85	2.78	2.78	149020469	467764864.00
2011/12/02	2.78	2.81	2.75	2.80	49597490	154492976.00
2011/12/05	2.81	2.81	2.75	2.79	35369259	109748448.00
2011/12/06	2.79	2.79	2.73	2.73	56829576	175009024.00
2011/12/07	2.74	2.76	2.72	2.73	40125033	122964304.00
2011/12/08	2.73	2.77	2.71	2.76	59705407	183678448.00
2011/12/09	2.74	2.78	2.73	2.75	37647337	116156416.00
2011/12/12	2.73	2.74	2.70	2.71	44385607	135280544.00
2011/12/13	2.71	2.71	2.68	2.70	70616285	213261312.00
2011/12/14	2.68	2.72	2.66	2.67	52796520	159585904.00
2011/12/15	2.67	2.68	2.63	2.67	51774449	154806384.00
2011/12/19	2.68	2.68	2.60	2.66	59720324	177238592.00
2011/12/20	2.66	2.70	2.64	2.66	42887339	128573904.00
2011/12/21	2.68	2.69	2.61	2.62	33467650	99661376.00
2011/12/22	2.61	2.62	2.54	2.59	64721189	188512928.00
2011/12/23	2.57	2.63	2.57	2.60	32372316	95026600.00
2011/12/26	2.60	2.62	2.59	2.60	29951362	87941904.00
2011/12/27	2.60	2.61	2.56	2.57	26246814	76413896.00
2011/12/28	2.57	2.58	2.54	2.58	48181656	139257104.00
2011/12/29	2.57	2.57	2.55	2.56	34081467	98490944.00
