601677 明泰铝业 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/10	15.90	15.91	15.64	15.67	1003294	16110392.00
2011/10/11	16.14	16.38	15.60	15.82	2419635	39556464.00
2011/10/12	15.61	16.36	15.35	16.21	3268042	53455264.00
2011/10/13	16.05	17.15	15.98	17.02	7644101	130307976.00
2011/10/14	16.80	17.59	16.78	17.26	7212708	126503848.00
2011/10/17	17.19	17.65	17.01	17.63	4890185	86284976.00
2011/10/18	17.40	17.50	16.81	17.07	3721229	65187536.00
2011/10/19	17.10	17.80	16.93	17.73	4676322	82976664.00
2011/10/20	17.52	17.65	16.89	17.28	2713661	47476484.00
2011/10/21	17.17	17.25	15.94	16.92	3264532	55092864.00
2011/10/24	16.68	17.22	16.25	17.14	3608251	61936508.00
2011/10/25	17.00	18.09	16.57	17.79	10130152	180273792.00
2011/10/26	17.46	17.80	17.22	17.46	7928270	141116016.00
2011/10/27	17.43	17.55	17.06	17.13	3545983	62346652.00
2011/10/28	17.49	17.88	17.16	17.40	5168382	91800048.00
2011/10/31	17.72	18.19	17.50	18.00	6816553	124185656.00
2011/11/01	17.70	17.86	17.41	17.52	4015731	71990312.00
2011/11/02	17.15	17.36	16.63	17.31	4893801	84520368.00
2011/11/03	17.28	18.20	17.28	17.73	8861524	161116656.00
2011/11/04	17.73	18.51	17.73	18.07	7476172	137687472.00
2011/11/07	18.05	18.06	17.57	17.68	3212268	57864424.00
2011/11/09	17.60	17.75	17.12	17.69	4440890	78623064.00
2011/11/10	17.31	17.43	17.05	17.05	3097473	54216848.00
2011/11/11	17.06	17.22	16.71	16.73	2396066	41227028.00
2011/11/14	16.98	17.17	16.75	17.11	2085270	36071480.00
2011/11/15	17.00	17.26	16.98	17.19	1824282	31816618.00
2011/11/16	17.20	17.21	16.46	16.54	2652158	45260264.00
2011/11/17	16.59	16.77	16.46	16.56	1431247	24194188.00
2011/11/18	16.42	16.58	16.10	16.15	1663240	27546802.00
2011/11/21	16.23	16.39	16.06	16.36	779171	12869826.00
2011/11/22	16.25	16.39	16.12	16.35	789912	13094968.00
2011/11/23	16.39	16.41	16.20	16.25	696028	11556983.00
2011/11/24	15.91	16.20	15.90	16.00	793560	12948503.00
2011/11/25	16.03	16.40	16.03	16.10	906588	14956076.00
2011/11/28	16.24	16.24	15.61	15.83	984395	15926610.00
2011/11/29	16.04	16.04	15.80	16.02	899613	14602985.00
2011/11/30	15.95	16.04	15.21	15.37	1316240	20876676.00
2011/12/01	15.98	16.00	15.55	15.58	1627844	26205376.00
