601678 滨化股份 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/10	9.04	9.15	8.95	8.98	1568994	22305924.00
2011/10/11	9.22	9.39	8.53	8.69	4572790	63999460.00
2011/10/12	8.67	9.04	8.22	9.02	7568939	104578264.00
2011/10/13	8.95	9.23	8.95	9.10	5834025	83773976.00
2011/10/14	9.11	9.11	8.91	9.04	3458746	49001848.00
2011/10/17	9.09	9.57	9.07	9.55	9575837	141096912.00
2011/10/18	9.55	9.55	9.22	9.28	6341010	93685568.00
2011/10/19	9.32	9.46	9.23	9.30	3206816	47152024.00
2011/10/20	9.23	9.29	8.81	8.90	4487720	63354280.00
2011/10/21	8.87	8.99	8.64	8.69	1992672	27592502.00
2011/10/24	8.79	9.11	8.64	9.06	3474745	48758648.00
2011/10/25	9.05	9.38	9.03	9.33	4909296	71320896.00
2011/10/26	9.35	9.63	9.23	9.50	8396489	125415136.00
2011/10/27	9.55	9.69	9.43	9.55	6429307	96300528.00
2011/10/28	9.71	9.81	9.56	9.76	6686795	101722768.00
2011/10/31	9.74	9.74	9.37	9.61	10843383	162312560.00
2011/11/01	9.43	9.66	9.39	9.60	6384763	95744160.00
2011/11/02	9.31	9.67	9.27	9.64	5746204	85437792.00
2011/11/03	9.75	9.89	9.66	9.72	8773157	134588160.00
2011/11/04	9.89	9.95	9.57	9.67	8007841	121980416.00
2011/11/07	9.56	9.75	9.50	9.51	4475386	67443552.00
2011/11/08	9.54	9.61	9.39	9.46	4744860	70760072.00
2011/11/09	9.50	10.15	9.47	10.03	14483480	222992304.00
2011/11/10	9.89	10.13	9.75	9.97	12133027	189388512.00
2011/11/11	10.02	10.29	9.83	10.23	17137981	270904608.00
2011/11/14	10.35	10.42	10.12	10.27	15208524	243866256.00
2011/11/15	10.19	10.19	9.99	10.11	8864452	139958816.00
2011/11/16	10.07	10.17	9.67	9.75	7961295	124151376.00
2011/11/17	9.69	9.92	9.69	9.84	4437260	68078200.00
2011/11/18	9.76	9.76	9.29	9.37	5984407	88954176.00
2011/11/21	9.36	9.39	9.10	9.31	3572273	51890128.00
2011/11/22	9.15	9.25	9.02	9.20	2654764	38303604.00
2011/11/23	9.23	9.24	9.06	9.07	1981850	28536536.00
2011/11/24	8.99	9.01	8.79	8.94	4923112	69004664.00
2011/11/25	8.93	8.95	8.71	8.75	4164412	57745520.00
2011/11/29	8.89	9.07	8.87	9.01	5081811	71839936.00
2011/11/30	8.99	9.01	8.33	8.35	6318552	85388624.00
2011/12/01	8.71	8.79	8.49	8.53	5285718	72225632.00
2011/12/02	8.50	8.65	8.33	8.41	3152989	41751124.00
2011/12/05	8.36	8.43	7.89	7.99	4812984	61966964.00
2011/12/06	7.99	8.17	7.89	8.08	2239819	28555568.00
2011/12/07	8.10	8.17	8.05	8.12	1339325	17205976.00
2011/12/08	8.12	8.19	7.91	8.12	2094203	26676600.00
2011/12/09	8.07	8.15	7.92	7.95	1691658	21448382.00
2011/12/12	7.95	8.12	7.93	7.97	2225753	28300900.00
2011/12/13	7.89	7.95	7.63	7.65	2395718	29406636.00
2011/12/14	7.62	7.75	7.45	7.51	1740028	21009204.00
2011/12/15	7.43	7.51	7.23	7.31	2705821	31805158.00
2011/12/16	7.39	7.59	7.27	7.57	2744596	32437388.00
2011/12/19	7.49	7.60	7.27	7.58	2478647	29335576.00
2011/12/20	7.55	7.72	7.42	7.55	2250924	27252310.00
2011/12/21	7.65	7.70	7.25	7.36	2236590	26847378.00
2011/12/22	7.32	7.33	6.90	7.15	2700018	30735558.00
2011/12/23	7.15	7.29	7.09	7.18	2232501	25602616.00
2011/12/26	7.17	7.29	7.12	7.13	1733888	19827680.00
2011/12/27	7.09	7.17	6.83	6.85	2684048	29819664.00
2011/12/28	6.83	6.90	6.70	6.89	2381561	25816508.00
2011/12/29	6.92	6.93	6.79	6.91	2139054	23507648.00
2011/12/30	6.99	7.07	6.91	7.05	2456168	27436156.00
2012/01/04	7.29	7.29	6.87	6.89	3911864	44182680.00
2012/01/05	6.87	6.87	6.57	6.59	3193210	34335456.00
2012/01/06	6.61	6.67	6.44	6.65	2531724	26558492.00
2012/01/09	6.66	7.05	6.57	7.03	4301269	47136208.00
2012/01/10	7.03	7.43	7.00	7.35	7230013	83362840.00
2012/01/11	7.35	7.45	7.23	7.35	5246641	61390456.00
2012/01/12	7.29	7.72	7.27	7.58	7994302	96106456.00
2012/01/13	7.56	7.57	7.22	7.39	6929013	81362304.00
2012/01/16	7.25	7.48	7.19	7.26	3067706	35939276.00
2012/01/17	7.27	7.85	7.26	7.78	6097626	73563472.00
2012/01/18	7.80	8.04	7.71	7.82	8189122	102176336.00
2012/01/19	7.82	8.00	7.75	7.83	4398206	54823176.00
2012/01/20	7.89	7.99	7.75	7.84	4719733	58808420.00
2012/01/30	7.85	7.89	7.68	7.70	3323849	40853356.00
2012/01/31	7.64	7.81	7.61	7.80	2414130	29519428.00
2012/02/01	7.80	8.07	7.75	7.83	5524230	69411744.00
2012/02/02	7.83	7.99	7.75	7.99	3994559	49958804.00
2012/02/03	7.95	8.19	7.93	8.14	5221501	66834168.00
2012/02/06	8.09	8.19	8.00	8.09	4847208	62147176.00
2012/02/07	8.05	8.05	7.82	7.91	4325499	54271828.00
2012/02/08	7.94	8.21	7.72	8.20	6970110	87897624.00
2012/02/09	8.12	8.40	7.99	8.31	10922898	141302976.00
2012/02/10	8.23	8.29	8.11	8.19	6593256	85438720.00
2012/02/13	8.13	8.34	8.04	8.20	5130989	66519172.00
2012/02/14	8.21	8.21	8.01	8.07	4627331	59289720.00
2012/02/15	8.04	8.25	8.03	8.17	4411041	56969192.00
2012/02/16	8.06	8.10	7.93	8.05	8564154	108731968.00
2012/02/17	8.05	8.05	7.75	7.84	5731851	71589816.00
2012/02/20	7.93	7.99	7.82	7.83	5046497	63283892.00
2012/02/21	7.80	8.01	7.77	8.01	4832128	60561504.00
2012/02/22	7.98	8.18	7.97	8.16	7447022	95437608.00
2012/02/23	8.14	8.27	8.09	8.21	6869814	89010616.00
2012/02/24	8.21	8.35	8.15	8.33	8797438	115034224.00
2012/02/27	8.37	8.43	8.22	8.23	10449139	137541552.00
2012/02/28	8.19	8.20	8.00	8.08	6229415	79715344.00
2012/03/01	7.99	8.12	7.94	8.05	4363400	55469768.00
2012/03/02	8.05	8.29	8.05	8.29	9166873	119288528.00
2012/03/05	8.29	8.63	8.24	8.55	14935864	199628496.00
2012/03/06	8.48	8.75	8.43	8.60	11914930	161923120.00
2012/03/07	8.46	8.89	8.43	8.67	12719299	175253136.00
2012/03/08	8.73	8.97	8.64	8.74	10172966	141118688.00
2012/03/09	8.79	8.91	8.73	8.88	6874545	95545920.00
