601688 华泰证券 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/10	9.05	9.12	8.94	9.02	5556841	55373328.00
2011/10/11	9.35	9.43	9.01	9.14	17448569	178774208.00
2011/10/12	9.05	9.98	8.96	9.85	42954409	454167072.00
2011/10/13	9.70	9.88	9.64	9.75	18812563	201163248.00
2011/10/14	9.69	9.75	9.53	9.64	14770543	156289584.00
2011/10/17	9.65	9.78	9.54	9.63	10161097	107473792.00
2011/10/18	9.54	9.59	9.10	9.13	13459624	138242832.00
2011/10/19	9.20	9.37	9.11	9.21	9254226	94148712.00
2011/10/20	9.11	9.22	8.96	9.18	12354953	124125312.00
2011/10/21	9.16	9.22	9.04	9.07	6516206	65763484.00
2011/10/24	9.14	9.57	9.11	9.48	18327225	188563136.00
2011/10/25	9.42	9.68	9.31	9.59	16262424	170201952.00
2011/10/26	9.48	9.71	9.48	9.56	16662698	176143056.00
2011/10/27	9.59	9.66	9.35	9.47	17038841	178361376.00
2011/10/28	9.64	9.76	9.49	9.61	19540416	206587008.00
2011/10/31	9.67	9.71	9.47	9.54	12577660	132516256.00
2011/11/01	9.43	9.70	9.41	9.59	14861333	156611024.00
2011/11/02	9.43	9.80	9.23	9.76	21497321	224660480.00
2011/11/03	9.79	9.94	9.70	9.71	25747446	277181440.00
2011/11/04	9.79	9.83	9.65	9.80	13676847	146230560.00
2011/11/07	9.75	9.78	9.57	9.59	9209416	97712592.00
2011/11/08	9.64	9.72	9.51	9.53	8954505	94574480.00
2011/11/09	9.61	9.67	9.47	9.61	9126096	95982176.00
2011/11/10	9.46	9.54	9.37	9.38	9871191	102570928.00
2011/11/11	9.44	9.48	9.33	9.39	5280085	54705264.00
2011/11/14	9.47	9.60	9.42	9.56	10805509	113287824.00
2011/11/15	9.54	9.56	9.44	9.48	8580995	89487632.00
2011/11/16	9.48	9.52	9.15	9.18	11185783	114714880.00
2011/11/17	9.22	9.24	9.11	9.13	6025326	60937428.00
2011/11/18	9.13	9.20	8.95	8.99	9001016	90131456.00
2011/11/21	9.00	9.08	8.93	9.02	4872124	48405836.00
2011/11/22	8.97	9.05	8.93	8.99	4872019	48409616.00
2011/11/23	9.03	9.05	8.81	8.82	6808505	66992628.00
2011/11/24	8.75	8.81	8.59	8.66	10880431	104972000.00
2011/11/25	8.67	8.69	8.53	8.55	6288416	60032220.00
2011/11/28	8.61	8.70	8.57	8.62	5127377	49081136.00
2011/11/29	8.72	8.75	8.65	8.71	5708884	55088292.00
2011/11/30	8.68	8.70	8.07	8.11	13388850	123777192.00
2011/12/01	8.41	8.58	8.28	8.29	16288821	152814160.00
2011/12/02	8.26	8.27	8.04	8.07	7990950	72426200.00
2011/12/05	8.06	8.12	7.95	8.05	6155752	55419084.00
2011/12/06	8.05	8.11	7.99	8.09	5568677	50276392.00
2011/12/07	8.10	8.16	8.02	8.07	6140215	55477512.00
2011/12/08	8.08	8.13	7.87	8.03	6636061	59503252.00
2011/12/09	7.95	8.06	7.92	8.00	3279904	29319044.00
2011/12/12	7.98	8.05	7.86	7.87	4249611	37773528.00
2011/12/13	7.88	7.92	7.66	7.67	8751457	76452472.00
2011/12/14	7.65	7.71	7.45	7.48	6617796	56399748.00
2011/12/15	7.45	7.48	7.25	7.26	8568791	71113072.00
2011/12/16	7.29	7.45	7.16	7.41	9569006	78693992.00
2011/12/19	7.31	7.31	7.07	7.27	9013050	73405240.00
2011/12/20	7.25	7.33	7.10	7.13	8239501	67352352.00
2011/12/21	7.22	7.25	6.97	6.98	8072437	65274564.00
2011/12/22	6.92	6.95	6.67	6.77	15594476	120813368.00
2011/12/23	6.77	6.96	6.72	6.83	11578743	90259096.00
2011/12/26	6.77	6.95	6.72	6.86	8388473	64993348.00
2011/12/27	6.78	7.18	6.71	6.75	18231740	143634096.00
2011/12/28	6.67	7.00	6.58	6.94	21528686	166657632.00
2011/12/29	6.85	6.95	6.72	6.75	13723711	106983224.00
2011/12/30	6.81	6.91	6.75	6.87	17929382	139433792.00
2012/01/04	6.95	6.99	6.66	6.67	12882422	100302992.00
2012/01/05	6.62	6.71	6.40	6.41	15208191	113823016.00
2012/01/06	6.40	6.57	6.27	6.54	16748030	123569776.00
2012/01/09	6.49	6.93	6.45	6.84	19421141	148516368.00
2012/01/10	6.78	7.21	6.77	7.18	23862936	189415168.00
2012/01/11	7.13	7.16	7.00	7.05	16024634	128662672.00
2012/01/12	7.00	7.12	6.97	6.98	10790175	86133808.00
2012/01/13	6.99	7.05	6.73	6.92	13509680	105707960.00
2012/01/16	6.83	7.01	6.78	6.78	9666436	75969024.00
2012/01/17	6.80	7.29	6.76	7.24	17071292	137175840.00
2012/01/18	7.22	7.80	7.21	7.27	36945076	311676576.00
2012/01/19	7.28	7.67	7.27	7.53	23249246	196817440.00
2012/01/20	7.58	7.65	7.41	7.55	18608769	157416176.00
2012/01/30	7.57	7.60	7.23	7.25	14222457	118255352.00
2012/01/31	7.27	7.41	7.24	7.38	8571260	70981960.00
2012/02/01	7.38	7.39	7.14	7.21	7354887	60339504.00
2012/02/02	7.24	7.41	7.13	7.41	12473988	102693472.00
2012/02/03	7.35	7.47	7.27	7.40	15278009	127377848.00
2012/02/06	7.44	7.46	7.27	7.31	12041679	100045136.00
2012/02/07	7.25	7.25	7.06	7.10	10253822	82918432.00
2012/02/08	7.11	7.51	7.08	7.41	18191695	150613600.00
2012/02/09	7.41	7.44	7.28	7.32	17009483	141620192.00
2012/02/10	7.32	7.53	7.31	7.37	13622270	114019000.00
2012/02/13	7.27	7.50	7.24	7.42	15041003	125476296.00
2012/02/14	7.42	7.48	7.33	7.42	9434122	78803408.00
2012/02/15	7.41	7.62	7.38	7.54	22167269	188133184.00
2012/02/16	7.53	7.59	7.43	7.49	15626758	132305224.00
2012/02/17	7.55	7.61	7.49	7.53	14535342	123567296.00
2012/02/20	7.64	7.68	7.52	7.53	16511241	141099888.00
2012/02/21	7.53	7.62	7.43	7.60	19241295	162807008.00
2012/02/22	7.60	7.95	7.54	7.89	43276064	378241856.00
2012/02/23	7.83	7.93	7.78	7.85	16299295	143523440.00
2012/02/24	7.86	8.18	7.83	8.09	37394005	335295552.00
2012/02/27	8.15	8.52	8.13	8.23	48186605	448167904.00
2012/02/28	8.25	8.34	8.14	8.25	28948439	266052768.00
2012/02/29	8.24	8.24	8.00	8.03	15725171	142206352.00
2012/03/01	8.00	8.15	7.98	8.04	10631812	95827272.00
2012/03/02	8.06	8.41	8.06	8.38	25272742	233365952.00
2012/03/05	8.43	8.64	8.41	8.47	28181148	267139072.00
2012/03/06	8.41	8.51	8.32	8.37	18312233	171508432.00
2012/03/07	8.26	8.62	8.22	8.47	24982017	235202880.00
2012/03/08	8.57	9.06	8.54	8.84	43730575	427353152.00
2012/03/09	8.85	9.00	8.79	8.95	25849647	255074048.00
2012/03/12	8.84	9.08	8.55	8.75	40052227	390376224.00
2012/03/13	8.71	8.90	8.57	8.86	31957713	311135104.00
2012/03/14	8.90	9.16	8.44	8.56	42817694	421003200.00
2012/03/15	8.57	8.74	8.50	8.61	24037717	230189232.00
2012/03/16	8.70	8.96	8.67	8.94	25620647	250578880.00
2012/03/19	8.89	8.97	8.75	8.92	15161998	148907888.00
2012/03/20	8.86	8.90	8.37	8.44	23200893	220943232.00
2012/03/21	8.50	8.66	8.31	8.41	15466700	145814080.00
2012/03/22	8.38	8.65	8.36	8.50	14990103	141788672.00
2012/03/23	8.43	8.59	8.35	8.38	14745523	139055520.00
2012/03/26	8.35	8.47	8.23	8.32	8108137	75407128.00
2012/03/27	8.46	8.51	8.15	8.16	9436697	87399880.00
2012/03/28	8.15	8.17	7.65	7.72	18541754	164733120.00
2012/03/29	7.68	7.82	7.56	7.68	13130848	113123984.00
2012/03/30	7.71	7.91	7.71	7.83	12252712	107358880.00
2012/04/05	7.84	8.54	7.78	8.36	26336185	242123920.00
2012/04/06	8.28	8.47	8.25	8.44	15395943	143951344.00
2012/04/09	8.40	8.54	8.30	8.39	9741086	91343112.00
2012/04/10	8.42	8.48	8.13	8.48	12073215	111813752.00
2012/04/11	8.36	8.62	8.32	8.53	13154859	124032896.00
2012/04/12	8.53	8.88	8.49	8.85	32645963	316713344.00
2012/04/13	8.86	9.33	8.79	9.09	46453361	466748992.00
2012/04/16	9.00	9.18	8.96	9.06	27348108	274313056.00
2012/04/17	9.06	9.08	8.62	8.65	23118166	225201712.00
2012/04/18	8.73	9.20	8.64	9.09	38529955	383788416.00
2012/04/19	9.06	9.34	9.05	9.16	31952123	324019040.00
2012/04/20	9.15	9.82	9.12	9.60	67420333	704967488.00
2012/04/23	9.55	9.70	9.28	9.30	42123043	441095136.00
2012/04/24	9.19	9.75	9.12	9.57	46598956	482312448.00
2012/04/25	9.49	9.70	9.35	9.40	44556048	468658912.00
2012/04/26	9.47	9.97	9.24	9.76	55212345	585139648.00
