601717 郑煤机 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/10	11.63	11.98	11.63	11.77	1856791	46656992.00
2011/10/11	12.03	12.35	11.63	11.66	7301046	186579296.00
2011/10/12	11.63	12.26	11.26	12.21	6153014	155534864.00
2011/10/13	12.33	12.59	12.14	12.38	6324337	166751312.00
2011/10/14	12.25	12.33	12.00	12.10	4260020	109557328.00
2011/10/17	12.15	12.33	11.98	12.06	5809415	149848272.00
2011/10/18	11.93	11.95	11.60	11.63	3558484	88897248.00
2011/10/19	11.66	11.77	11.30	11.37	2336893	56020444.00
2011/10/20	11.33	11.42	10.99	11.01	2912982	67955008.00
2011/10/21	10.99	11.15	10.95	11.02	2177088	50348528.00
2011/10/24	11.10	11.40	10.89	11.36	3034282	71020000.00
2011/10/25	11.40	11.97	11.32	11.81	6030623	146906928.00
2011/10/26	11.72	12.27	11.72	12.23	9660244	243518256.00
2011/10/27	12.26	12.30	11.98	12.08	8901127	225433472.00
2011/10/28	12.26	12.48	12.09	12.32	8419105	215533184.00
2011/10/31	12.39	12.93	12.39	12.73	12609513	334195392.00
2011/11/01	12.61	13.02	12.58	12.81	10064797	269152832.00
2011/11/02	12.53	12.94	12.28	12.93	11881276	310351104.00
2011/11/03	12.99	13.37	12.76	12.78	12528051	340696608.00
2011/11/04	12.85	12.93	12.55	12.67	9974351	263487136.00
2011/11/07	12.60	12.65	12.36	12.48	7657231	198975168.00
2011/11/08	12.48	12.63	12.28	12.31	7344116	190435600.00
2011/11/09	12.34	12.82	12.24	12.80	9161613	237956240.00
2011/11/10	12.61	13.06	12.53	12.90	17398968	464249344.00
2011/11/11	12.98	13.05	12.53	12.62	11336749	299911008.00
2011/11/14	12.71	12.94	12.48	12.93	13628541	360875328.00
2011/11/15	12.80	13.40	12.70	13.28	17788550	483864768.00
2011/11/16	13.29	13.46	13.03	13.32	17241805	474378976.00
2011/11/17	13.18	13.72	13.09	13.60	14588420	406454912.00
2011/11/18	13.36	13.52	12.89	13.01	17445822	477938048.00
2011/11/21	12.95	13.01	12.53	12.73	8629402	228397152.00
2011/11/22	12.55	12.88	12.37	12.65	10069730	264073664.00
2011/11/23	12.72	12.83	12.48	12.81	6191550	163418048.00
2011/11/24	12.63	12.80	12.44	12.58	6021699	158022480.00
2011/11/25	12.48	12.60	11.93	12.00	12799760	325954080.00
2011/11/28	11.98	12.06	11.71	11.78	8867947	219357616.00
2011/11/29	11.97	12.63	11.97	12.57	11911470	305608416.00
2011/11/30	12.49	12.49	11.92	12.08	11196510	284914624.00
2011/12/01	12.44	13.00	12.37	12.63	16046267	422705888.00
2011/12/02	12.48	12.63	12.36	12.42	7424294	193075616.00
2011/12/05	12.23	12.41	11.84	11.91	8400605	210355744.00
2011/12/06	11.90	12.05	11.55	11.99	6830666	167688448.00
