601777 力帆股份 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/10	8.61	8.70	8.43	8.48	954790	8748369.00
2011/10/11	8.95	8.95	8.48	8.60	1707035	15937745.00
2011/10/12	8.60	8.91	8.50	8.87	2427266	22886290.00
2011/10/13	8.80	8.96	8.77	8.93	2046242	19525784.00
2011/10/14	8.90	9.12	8.78	9.03	3215592	30871928.00
2011/10/17	9.03	9.04	8.87	8.91	2140331	20538428.00
2011/10/18	8.85	8.86	8.59	8.61	1694023	15929488.00
2011/10/19	8.64	8.75	8.60	8.65	862030	8038727.00
2011/10/20	8.61	8.66	8.37	8.41	1836272	16755019.00
2011/10/21	8.37	8.48	8.37	8.39	1125497	10191027.00
2011/10/24	8.40	8.52	8.31	8.51	1533522	13947511.00
2011/10/25	8.50	8.70	8.44	8.67	2505877	23162382.00
2011/10/26	8.57	8.82	8.57	8.70	2422115	22699348.00
2011/10/27	8.68	8.80	8.68	8.74	2509164	23537436.00
2011/10/28	8.81	8.95	8.76	8.92	3797734	36052112.00
2011/10/31	8.97	8.98	8.86	8.96	3058829	29291018.00
2011/11/01	8.90	9.50	8.87	9.20	9401940	92660352.00
2011/11/02	9.05	9.61	8.97	9.39	10573010	105375936.00
2011/11/03	9.40	9.68	9.22	9.30	8440078	84743736.00
2011/11/04	9.30	9.49	9.17	9.32	8325114	82816224.00
2011/11/07	9.25	9.60	9.23	9.42	8147827	82219040.00
2011/11/08	9.58	9.58	9.13	9.25	6533615	65288780.00
2011/11/09	9.26	9.55	9.18	9.35	4988960	49822804.00
2011/11/10	9.20	9.31	9.07	9.08	2323744	22934444.00
2011/11/11	9.05	9.16	8.98	9.05	2414550	23472440.00
2011/11/14	9.14	9.28	9.09	9.25	3289217	32430816.00
2011/11/15	9.29	9.39	9.25	9.32	3526378	35116168.00
2011/11/16	9.35	9.35	8.96	9.03	2858957	28011648.00
2011/11/17	9.03	9.11	8.97	8.99	1726832	16700114.00
2011/11/18	9.01	9.01	8.64	8.65	2373756	22399764.00
2011/11/21	8.65	8.75	8.60	8.70	1281507	11955219.00
2011/11/22	8.66	8.70	8.55	8.65	1363515	12653066.00
2011/11/23	8.63	8.68	8.48	8.50	1627205	15010373.00
2011/11/24	8.41	8.52	8.41	8.47	1494176	13604757.00
2011/11/25	8.51	8.56	8.46	8.46	886664	8102540.00
2011/11/28	8.55	8.64	8.47	8.63	1500602	13852293.00
