601798 蓝科高新 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/10	11.33	11.37	11.04	11.23	1481428	17765280.00
2011/10/11	11.56	11.70	11.18	11.31	2109984	25982188.00
2011/10/12	11.23	11.81	11.17	11.74	3724395	46607152.00
2011/10/13	11.70	12.15	11.65	12.02	3816163	48871880.00
2011/10/14	11.92	12.03	11.78	11.88	1511544	19294064.00
2011/10/17	11.96	12.19	11.80	11.95	2316817	29785728.00
2011/10/18	11.83	11.92	11.56	11.61	2074520	26142424.00
2011/10/19	11.61	11.81	11.54	11.61	1287289	16101836.00
2011/10/20	11.53	11.67	11.11	11.29	1426736	17340440.00
2011/10/21	11.31	11.33	11.07	11.08	1090113	13094777.00
2011/10/24	11.11	11.50	10.98	11.43	1701503	20546192.00
2011/10/25	11.47	11.94	11.38	11.87	2867823	36031160.00
2011/10/26	11.66	12.00	11.62	11.75	3771523	47718388.00
2011/10/27	11.83	12.03	11.74	12.02	3315319	42365140.00
2011/10/28	12.15	12.21	11.86	12.12	4496816	58151272.00
2011/10/31	12.09	12.10	11.87	12.05	2882072	37177864.00
2011/11/01	11.92	12.09	11.83	11.97	2337879	30081306.00
2011/11/02	11.74	12.43	11.69	12.29	3912116	50785544.00
2011/11/03	12.32	12.63	12.10	12.30	5023726	66964944.00
2011/11/04	12.39	12.46	12.20	12.31	2465943	32649596.00
2011/11/07	12.28	12.47	12.10	12.32	3506037	46349112.00
2011/11/08	12.19	12.35	11.98	12.03	2419552	31603908.00
2011/11/09	12.06	12.39	12.02	12.38	2895647	37949200.00
2011/11/10	12.17	12.75	12.17	12.37	5381799	72579560.00
2011/11/11	12.40	12.64	12.26	12.47	2479508	33254400.00
2011/11/14	12.59	12.81	12.52	12.64	4496310	61096456.00
2011/11/15	12.59	12.71	12.57	12.71	2452454	33369608.00
2011/11/16	12.71	12.80	12.21	12.28	3694582	49820304.00
2011/11/17	12.30	12.56	12.23	12.34	1585312	21099880.00
2011/11/18	12.23	12.30	11.88	11.93	2618741	33798828.00
2011/11/21	11.94	12.00	11.72	11.94	1462185	18637468.00
2011/11/22	11.83	12.05	11.78	12.04	1641373	21061742.00
2011/11/23	12.03	12.14	11.76	11.77	1910586	24436796.00
2011/11/24	11.65	11.82	11.60	11.73	1362350	17097218.00
2011/11/25	11.73	11.92	11.67	11.77	1659233	21064952.00
2011/11/28	11.82	12.00	11.78	11.95	1692569	21656584.00
2011/11/29	12.36	12.53	12.21	12.28	4439240	58825272.00
2011/11/30	12.29	12.71	12.04	12.29	7580252	100891752.00
2011/12/01	12.68	13.16	12.52	12.91	10837109	149931808.00
2011/12/02	12.73	12.91	12.47	12.69	4640525	63142176.00
2011/12/06	12.29	12.51	12.12	12.49	3525294	46671920.00
2011/12/07	12.46	12.98	12.42	12.94	5433561	74680976.00
2011/12/08	12.82	13.21	12.72	13.12	6943692	97417856.00
2011/12/09	12.95	13.04	12.75	12.95	3815177	53067968.00
2011/12/12	12.98	13.23	12.78	12.80	3701079	52112464.00
2011/12/13	12.76	12.78	12.46	12.67	3511618	47697808.00
2011/12/14	12.59	13.12	12.54	12.89	4974707	69183848.00
2011/12/15	12.80	13.40	12.68	13.15	7533256	106180368.00
2011/12/16	13.09	13.39	12.90	13.36	6949936	98244536.00
2011/12/19	13.19	13.30	12.55	12.92	8590830	119172440.00
2011/12/20	12.81	13.34	12.68	13.30	6924031	97190728.00
2011/12/21	13.31	13.48	12.20	12.45	8069361	113153648.00
2011/12/22	12.23	12.71	11.92	12.40	5221453	68681440.00
2011/12/23	12.11	12.67	12.11	12.40	2793359	37306904.00
2011/12/26	12.41	12.76	12.30	12.64	3468233	47003864.00
2011/12/27	12.51	12.76	12.28	12.31	3068574	41275468.00
2011/12/28	12.10	12.24	11.76	12.10	3756871	48291224.00
2011/12/29	12.01	12.23	11.92	12.16	1925863	25119220.00
2011/12/30	12.17	12.58	12.11	12.50	2577909	34437816.00
2012/01/04	12.89	13.19	12.53	12.57	6002495	82859704.00
2012/01/05	12.44	13.08	12.37	12.76	5352509	73701088.00
2012/01/06	12.69	12.81	12.19	12.56	4017943	53624432.00
2012/01/09	12.52	13.77	12.48	13.44	15410205	222512736.00
2012/01/10	13.32	13.83	13.27	13.73	10297535	150691120.00
2012/01/11	13.70	13.81	13.45	13.68	7944920	116505424.00
2012/01/12	13.63	14.17	13.57	13.62	9123864	136326080.00
2012/01/13	13.53	13.67	12.98	13.00	7529098	107711272.00
2012/01/16	12.93	13.03	12.55	12.75	6624423	91290728.00
2012/01/17	12.73	13.45	12.64	13.44	7516779	106263176.00
2012/01/18	13.41	13.54	12.86	12.87	5516648	78492808.00
2012/01/19	12.75	13.04	12.57	12.88	5310121	72966488.00
2012/01/20	12.90	12.94	12.60	12.76	3714212	51060120.00
