601886 江河创建 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/10	9.42	9.46	9.06	9.20	2652191	50407032.00
2011/10/11	9.53	9.61	9.05	9.12	2738502	52715196.00
2011/10/12	9.04	10.01	8.99	9.78	6858249	134714672.00
2011/10/13	9.81	10.22	9.71	9.89	6628262	136196704.00
2011/10/14	9.80	10.04	9.77	9.89	3001260	61218668.00
2011/10/17	9.94	10.31	9.84	10.11	5531424	115132920.00
2011/10/18	9.99	10.42	9.82	9.88	8022423	167599840.00
2011/10/19	9.93	10.04	9.59	9.76	3287654	66372260.00
2011/10/20	9.74	9.76	8.76	8.79	8953177	166733664.00
2011/10/21	8.69	8.83	8.37	8.47	5145317	91511480.00
2011/10/24	8.47	8.92	8.42	8.83	6137063	110122272.00
2011/10/25	8.83	9.09	8.39	8.97	9115355	165985904.00
2011/10/26	8.79	9.18	8.77	9.05	8782748	162803744.00
2011/10/27	9.05	9.54	8.98	9.16	8093932	154707632.00
2011/10/28	9.28	9.42	9.09	9.31	7150137	136702944.00
2011/10/31	9.28	9.64	9.20	9.39	5289873	103171784.00
2011/11/01	9.30	9.40	9.07	9.19	4748838	90714296.00
2011/11/02	8.97	9.53	8.94	9.52	5823279	111352912.00
2011/11/03	9.52	9.83	9.45	9.49	9628784	191297232.00
2011/11/04	9.52	9.59	9.40	9.44	4673958	91681120.00
2011/11/07	9.45	9.53	9.19	9.20	4180690	80709976.00
2011/11/08	9.37	9.79	9.37	9.52	10811737	214288448.00
2011/11/09	9.44	9.57	9.14	9.43	6876519	132599952.00
2011/11/10	9.33	9.33	9.04	9.07	6984007	132282176.00
2011/11/11	9.01	9.29	8.94	9.07	3766220	70937896.00
2011/11/14	9.19	9.34	9.12	9.33	6645265	126711816.00
2011/11/15	9.31	9.62	9.20	9.43	6220876	121286392.00
2011/11/16	9.48	9.77	9.35	9.45	10908998	215630944.00
2011/11/17	9.54	9.60	9.37	9.52	6376867	125015008.00
2011/11/18	9.47	9.47	8.61	8.77	12191293	225739696.00
2011/11/21	8.81	8.81	8.21	8.34	10091625	176099568.00
2011/11/22	8.24	8.51	8.17	8.49	5632328	97724464.00
2011/11/23	8.47	8.48	8.26	8.29	4813348	83398096.00
2011/11/24	8.24	8.24	8.03	8.15	4979519	84214728.00
2011/11/25	8.14	8.26	7.92	7.98	5436174	91091376.00
2011/11/28	8.03	8.05	7.73	7.81	6813124	111120608.00
2011/11/29	7.92	8.02	7.83	7.99	6750376	111422160.00
2011/11/30	7.95	7.97	7.23	7.39	7170860	113619256.00
2011/12/01	7.68	7.87	7.54	7.55	8053299	129096816.00
2011/12/02	7.49	8.29	7.29	8.08	14481248	236699616.00
2011/12/05	7.97	8.04	7.65	7.93	10151115	166315744.00
2011/12/06	7.84	8.19	7.79	8.18	13322805	222354592.00
2011/12/07	8.13	8.31	7.95	8.28	13646587	230956400.00
2011/12/08	8.19	9.07	8.17	9.02	31658868	570584576.00
2011/12/09	8.85	8.90	8.72	8.80	17367212	316770336.00
2011/12/12	8.79	8.85	8.67	8.84	9029355	163806944.00
2011/12/13	8.74	8.87	8.47	8.62	13783647	248535520.00
2011/12/14	8.50	8.64	8.25	8.32	13001783	228246016.00
2011/12/15	8.31	8.46	8.16	8.18	10410412	180004800.00
2011/12/16	8.17	8.20	7.33	7.69	23470214	373261600.00
2011/12/20	7.54	7.90	7.47	7.69	18154225	292131360.00
2011/12/21	7.76	7.78	7.34	7.47	13874890	216199936.00
2011/12/22	7.51	8.25	7.30	8.25	36591161	594696960.00
2011/12/23	8.19	8.19	7.87	8.08	29548853	492342272.00
2011/12/26	7.94	8.07	7.78	7.80	12550554	206440608.00
2011/12/27	7.71	7.99	7.50	7.66	15448358	248756112.00
2011/12/28	7.49	7.54	6.87	6.87	20494514	297706656.00
2011/12/29	6.64	6.82	6.56	6.57	10053501	140632000.00
2011/12/30	6.66	6.78	6.60	6.67	6950951	97280424.00
2012/01/04	6.76	6.79	6.26	6.29	6944712	95875656.00
2012/01/05	6.18	6.24	5.80	5.88	8564290	108474976.00
2012/01/06	5.86	6.11	5.82	6.06	6273195	78822624.00
2012/01/09	6.09	6.40	5.88	6.38	8525354	111435904.00
2012/01/10	6.37	6.65	6.29	6.63	11394279	155631520.00
2012/01/11	6.64	6.89	6.55	6.61	11260750	157937648.00
2012/01/12	6.52	6.79	6.52	6.72	8589329	119690416.00
2012/01/13	6.79	6.90	6.19	6.22	10304023	140537280.00
2012/01/16	6.09	6.12	5.87	5.89	5699721	72115256.00
2012/01/17	5.86	6.38	5.86	6.33	7173961	92717800.00
2012/01/18	6.34	6.47	6.12	6.14	7444499	98258520.00
2012/01/19	6.14	6.31	6.08	6.28	5092528	66528352.00
2012/01/20	6.29	6.50	6.22	6.45	5716076	76347136.00
2012/01/30	6.50	6.50	6.24	6.33	5341614	71226712.00
2012/01/31	6.44	6.45	6.28	6.41	5049189	67529376.00
2012/02/01	6.41	6.54	6.32	6.40	6457336	87076264.00
2012/02/02	6.42	6.50	6.29	6.49	6769014	90955136.00
2012/02/03	6.47	6.65	6.42	6.61	8730270	119785280.00
2012/02/06	6.62	6.72	6.52	6.64	7619441	105388808.00
2012/02/07	6.59	6.59	6.37	6.43	7626800	103133568.00
2012/02/08	6.43	7.04	6.41	6.85	17429585	247214544.00
2012/02/09	6.79	6.90	6.72	6.82	11612151	165391680.00
2012/02/10	6.82	7.12	6.77	6.89	13744196	200104832.00
2012/02/13	6.79	6.97	6.75	6.91	7982732	114577304.00
2012/02/14	6.92	6.94	6.77	6.83	6106092	87085848.00
2012/02/15	6.79	7.09	6.76	7.04	10546092	153123776.00
2012/02/16	7.01	7.15	6.90	7.01	8130693	119203424.00
2012/02/17	7.03	7.34	7.00	7.17	15400449	231187840.00
2012/02/20	7.22	7.26	7.05	7.06	9313176	138816432.00
2012/02/21	7.06	7.13	6.86	7.11	7271578	106226672.00
2012/02/22	7.09	7.32	7.04	7.29	10369686	155870176.00
2012/02/23	7.30	7.48	7.24	7.32	9778653	150053744.00
2012/02/24	7.34	7.56	7.27	7.46	11136252	172118336.00
2012/02/27	7.57	7.59	7.35	7.36	11785564	183315120.00
2012/02/28	7.33	7.36	7.19	7.25	8819473	133450912.00
2012/02/29	7.22	7.37	7.15	7.28	6741331	102130880.00
2012/03/01	7.23	7.34	7.20	7.29	4456607	67610496.00
2012/03/02	7.30	7.44	7.28	7.43	7679844	117927920.00
2012/03/05	7.46	7.53	7.29	7.30	7643940	117814056.00
2012/03/06	7.24	7.25	7.04	7.07	7382087	109821968.00
2012/03/07	7.02	7.23	6.97	7.03	6141861	91182768.00
2012/03/08	7.08	7.23	7.04	7.14	5572554	83164448.00
2012/03/09	7.19	7.37	7.16	7.35	6677382	101561728.00
2012/03/12	7.36	7.45	7.27	7.34	6493874	99464656.00
2012/03/13	7.33	7.83	7.33	7.67	14339481	227411296.00
2012/03/14	7.69	7.69	7.12	7.17	13342653	206732704.00
2012/03/15	7.14	7.23	6.77	6.86	8503403	123713072.00
2012/03/16	6.91	7.03	6.80	7.00	5719397	83010216.00
2012/03/19	6.96	7.32	6.93	7.29	7152500	106532112.00
2012/03/20	7.26	7.44	7.19	7.21	8640329	131852616.00
2012/03/21	7.25	7.39	7.11	7.30	5601196	84696208.00
2012/03/22	7.30	7.43	7.24	7.41	6457010	99020528.00
2012/03/23	7.38	7.58	7.24	7.37	8864673	137144128.00
2012/03/26	7.42	7.42	6.87	7.00	7679727	113638728.00
2012/03/27	6.99	7.09	6.76	6.79	6223220	89505632.00
2012/03/28	6.74	6.83	6.31	6.37	5524069	75566560.00
2012/03/29	6.35	6.44	6.21	6.36	3807241	50525728.00
2012/03/30	6.43	6.62	6.39	6.54	5342146	72803160.00
2012/04/05	6.53	6.74	6.49	6.70	3692249	51497460.00
2012/04/06	6.68	6.74	6.60	6.69	3054439	42629200.00
2012/04/09	6.61	6.79	6.58	6.66	3876824	54377204.00
2012/04/10	6.63	6.73	6.32	6.65	4619987	62981136.00
2012/04/11	6.55	6.75	6.48	6.71	4394409	61232284.00
2012/04/12	6.70	6.85	6.64	6.83	5778316	81811920.00
2012/04/13	6.85	7.23	6.85	7.10	9363581	138721824.00
2012/04/17	7.23	7.70	7.23	7.40	15145386	236274256.00
2012/04/18	7.38	7.59	7.30	7.50	9310888	144574384.00
2012/04/19	7.52	7.85	7.46	7.75	11220297	180219936.00
2012/04/20	7.77	7.91	7.61	7.74	8163467	131707872.00
2012/04/23	7.74	7.89	7.60	7.66	8756348	140337056.00
2012/04/24	7.57	7.79	7.37	7.70	7589104	120032968.00
2012/04/25	7.67	8.18	7.63	8.08	9201162	151800880.00
2012/04/26	8.09	8.15	7.92	8.07	5312165	88701920.00
2012/04/27	8.09	8.19	7.97	8.04	3594308	60105304.00
2012/05/02	8.15	8.19	7.88	8.05	4545211	75962472.00
2012/05/03	8.00	8.10	7.88	7.94	4710498	77758192.00
2012/05/04	8.00	8.39	8.00	8.23	8860776	150835776.00
2012/05/07	8.12	8.54	8.12	8.49	7560171	131452888.00
2012/05/08	8.49	8.61	8.35	8.42	3981716	69932656.00
2012/05/09	8.34	8.39	8.10	8.12	3472032	59414632.00
2012/05/10	8.05	8.41	8.04	8.17	4069849	69953616.00
2012/05/11	8.17	8.44	8.17	8.34	4388509	75935512.00
2012/05/14	8.53	8.94	8.43	8.67	7022261	126150136.00
2012/05/15	8.67	8.73	8.45	8.59	4842473	85225760.00
2012/05/16	8.59	8.64	8.45	8.55	5617559	98538848.00
2012/05/17	8.85	9.03	8.19	8.27	9124037	159619648.00
2012/05/18	8.20	8.42	8.06	8.20	4647877	79226696.00
2012/05/21	8.21	8.38	7.93	8.19	3353382	56033312.00
2012/05/22	8.23	8.36	8.11	8.31	2747995	46515172.00
2012/05/23	8.29	8.39	8.10	8.15	2541984	42854300.00
2012/05/24	8.07	8.34	8.07	8.11	2546256	42722056.00
2012/05/25	8.14	8.23	7.87	7.88	2395864	39439160.00
2012/05/28	7.80	8.20	7.74	8.19	3246056	53166300.00
2012/05/29	8.24	8.69	8.22	8.51	7334276	127721448.00
2012/05/30	8.44	8.73	8.43	8.64	4366112	77157984.00
2012/05/31	8.59	8.77	8.49	8.68	3868298	68656688.00
