601888 中国国旅 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/10	23.80	23.94	23.21	23.25	1086800	26365620.00
2011/10/11	23.60	23.90	22.75	22.97	1559392	37326624.00
2011/10/12	22.68	24.67	22.68	24.18	2645607	64872768.00
2011/10/13	24.15	25.13	24.15	24.44	2093034	53166472.00
2011/10/14	24.20	24.51	23.93	24.20	988185	24725930.00
2011/10/17	24.40	25.11	24.30	24.93	2499699	64119764.00
2011/10/18	24.94	25.16	24.75	24.97	2299633	59306436.00
2011/10/19	24.95	25.95	24.95	25.34	2263758	59570328.00
2011/10/20	25.11	25.75	24.85	25.17	2100309	54659044.00
2011/10/21	25.16	25.49	24.40	25.41	2449448	63245200.00
2011/10/24	25.10	25.93	24.85	25.85	1445494	37962436.00
2011/10/25	25.82	26.33	25.15	26.25	2044473	54538944.00
2011/10/26	26.05	26.56	25.75	26.08	2213030	60016756.00
2011/10/27	26.28	26.74	25.97	26.21	1712360	46710328.00
2011/10/28	26.43	26.62	25.68	26.14	2112812	56833984.00
2011/10/31	26.15	27.25	25.93	27.15	3659801	100965408.00
2011/11/01	27.07	28.17	26.94	27.21	4283519	122255080.00
2011/11/02	26.95	27.90	26.83	27.72	3544341	100156648.00
2011/11/03	27.75	28.29	27.36	27.50	5621777	161677056.00
2011/11/04	27.60	28.12	27.03	27.09	2272625	64446456.00
2011/11/07	26.95	27.35	26.87	26.95	1857535	51816400.00
2011/11/08	27.00	27.05	25.03	25.65	13110720	348032032.00
2011/11/09	25.45	26.37	25.27	26.32	4400949	117577512.00
2011/11/10	26.00	26.82	25.95	26.60	5423573	148803008.00
2011/11/11	26.66	26.85	25.92	26.03	2486595	68027096.00
2011/11/14	25.98	27.03	25.97	26.90	2282525	62595412.00
2011/11/15	27.53	27.53	26.84	26.88	1805665	50382920.00
2011/11/16	27.43	27.43	25.65	26.07	2645417	72599000.00
2011/11/17	26.33	26.82	26.05	26.71	1966854	53559172.00
2011/11/18	26.85	26.95	26.26	26.57	2157058	59237516.00
2011/11/21	26.57	26.92	26.33	26.84	511737	14028934.00
2011/11/22	26.85	27.64	26.53	27.62	2788548	78074424.00
2011/11/23	28.08	28.08	27.43	27.61	2354999	67116544.00
2011/11/24	27.55	27.91	27.25	27.89	1984927	56665296.00
2011/11/25	27.88	28.23	26.87	27.10	2035047	57970364.00
2011/11/28	27.79	27.79	26.85	27.07	2264408	63573008.00
2011/11/29	27.25	28.74	27.25	28.29	4625980	133914968.00
2011/11/30	28.34	28.34	27.46	27.75	3614850	103844232.00
2011/12/01	28.32	28.81	27.96	28.12	4553467	133506312.00
2011/12/02	28.15	28.15	27.46	27.67	1744386	49849872.00
2011/12/05	27.62	27.75	26.65	26.93	2214185	62148904.00
2011/12/06	26.85	27.15	26.30	26.79	1401207	38561876.00
2011/12/07	26.39	27.36	26.39	27.00	739014	20627140.00
2011/12/08	27.03	27.35	26.56	27.28	1823485	51000512.00
