601969 海南矿业 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2014/12/09	12.41	14.89	12.41	14.89	373197	5546495.00
2014/12/10	16.38	16.38	16.38	16.38	210507	3448105.00
2014/12/11	18.02	18.02	18.02	18.02	206700	3724734.00
2014/12/12	19.82	19.82	19.82	19.82	685094	13578563.00
2014/12/15	21.80	21.80	19.56	20.02	91472852	1868009216.00
2014/12/16	19.24	19.63	18.64	18.92	53386336	1014263552.00
2014/12/17	18.71	19.49	18.42	18.52	36028286	679101248.00
2014/12/18	18.30	18.50	17.83	17.93	31097975	563673792.00
2014/12/19	17.75	17.84	16.41	16.83	34229462	581221312.00
2014/12/22	16.70	16.70	15.15	15.18	29917233	470532992.00
2014/12/23	15.45	16.70	15.40	16.70	19149754	313437024.00
2014/12/24	17.50	17.78	16.81	17.16	46017576	797382208.00
2014/12/25	16.50	16.80	16.00	16.62	33880144	553960448.00
2014/12/26	16.29	16.80	16.20	16.42	21818232	358693280.00
2014/12/29	16.19	16.72	15.86	16.69	27207382	442932384.00
2014/12/30	16.60	16.96	16.20	16.25	20198255	333928704.00
2014/12/31	16.10	16.23	15.73	15.93	15819100	252442208.00
2015/01/05	15.94	16.52	15.80	16.29	20764384	337793024.00
2015/01/06	16.00	16.44	15.75	16.37	22300034	357706400.00
2015/01/07	16.60	16.97	16.32	16.43	25662313	426927360.00
2015/01/08	16.10	16.44	15.94	16.11	14660566	236972736.00
2015/01/09	16.04	16.23	15.89	15.91	10917909	175472704.00
2015/01/12	15.73	15.74	15.20	15.25	12934286	199841936.00
2015/01/13	15.28	15.54	15.20	15.39	7780454	119503168.00
2015/01/14	15.35	15.57	15.20	15.25	8743190	133887184.00
2015/01/15	15.28	16.64	15.20	15.76	18917454	301002688.00
2015/01/16	15.61	17.18	15.58	16.59	39383775	652711104.00
2015/01/19	15.99	16.68	15.31	15.65	29956559	480142400.00
2015/01/20	15.62	16.50	15.54	16.45	25781694	415680256.00
2015/01/21	16.45	16.66	16.25	16.64	27189308	447651680.00
2015/01/22	16.54	17.46	16.46	17.16	37090642	635666432.00
2015/01/23	17.13	17.13	16.41	16.50	25649366	427879744.00
2015/01/26	16.51	16.56	16.22	16.51	12496533	204668256.00
2015/01/27	16.53	16.77	16.27	16.44	14133901	233061568.00
2015/01/28	16.28	16.28	16.00	16.07	13930084	224201184.00
2015/01/29	15.91	16.01	15.77	15.85	7282825	115648040.00
2015/01/30	15.85	16.55	15.79	16.14	13477131	218116544.00
2015/02/02	15.96	16.12	15.83	15.87	7239663	115193648.00
2015/02/03	15.90	16.15	15.90	16.09	6253890	100220712.00
2015/02/04	16.05	16.28	15.87	16.00	8488050	136551200.00
2015/02/05	16.18	16.25	15.60	15.63	9172312	145188000.00
2015/02/06	15.64	15.72	15.22	15.29	8628436	132679680.00
2015/02/09	15.22	15.36	15.21	15.26	4196227	64178596.00
2015/02/10	15.26	15.32	15.10	15.19	6088637	92514048.00
2015/02/11	15.20	15.28	15.15	15.24	4679305	71218776.00
2015/02/12	15.26	15.42	15.25	15.37	4455986	68359824.00
2015/02/13	15.45	15.90	15.41	15.71	9351219	146460976.00
2015/02/16	15.68	15.80	15.61	15.69	5255489	82470528.00
2015/02/17	15.72	15.88	15.60	15.75	6256490	98420768.00
2015/02/25	15.75	15.77	15.56	15.57	4193220	65503728.00
2015/02/26	15.58	16.57	15.54	15.97	10975743	175039888.00
2015/02/27	16.01	16.50	15.91	16.22	13524004	218590400.00
2015/03/02	16.22	16.50	16.04	16.36	14773254	241074160.00
2015/03/03	16.26	16.53	16.10	16.29	17487534	285268672.00
2015/03/04	16.20	16.56	16.15	16.47	16174758	265593920.00
2015/03/05	16.51	16.60	16.19	16.41	16174934	265075568.00
2015/03/06	16.41	16.49	16.17	16.33	12605054	205990816.00
2015/03/09	16.16	16.33	16.02	16.10	9354063	150752256.00
2015/03/10	16.06	16.19	16.02	16.10	7349213	118463888.00
2015/03/11	16.08	16.14	15.56	15.63	12868016	203831056.00
2015/03/12	15.61	15.87	15.55	15.63	7715455	121244736.00
2015/03/13	15.73	15.95	15.72	15.90	7297193	115703896.00
2015/03/16	16.00	16.18	15.91	16.15	10381748	167107712.00
2015/03/17	16.17	16.59	16.11	16.55	24474397	401064256.00
2015/03/18	16.56	16.95	16.39	16.92	27964607	469143456.00
2015/03/19	16.93	16.94	16.61	16.78	20875534	350213408.00
2015/03/20	16.79	17.17	16.72	16.99	20238890	343613824.00
2015/03/23	17.16	17.28	16.93	17.10	21303948	363245216.00
2015/03/24	17.10	17.28	16.83	17.28	34575353	590865408.00
2015/03/25	17.24	17.24	16.92	17.06	20228510	345085152.00
2015/03/26	17.07	17.07	16.75	16.85	16581093	280384384.00
2015/03/27	16.90	18.44	16.85	17.66	39509883	698686080.00
2015/03/30	17.60	18.00	17.30	17.90	31100168	549193600.00
2015/03/31	17.90	18.08	17.46	17.71	23590932	418123232.00
2015/04/01	17.71	18.56	17.71	18.43	33837874	619286400.00
2015/04/02	18.29	18.55	18.17	18.52	21996762	403435744.00
2015/04/03	18.33	19.27	18.17	19.08	31455305	583890752.00
2015/04/07	19.20	20.99	19.08	20.99	59316168	1204738688.00
2015/05/05	20.99	20.99	20.99	20.99	0	0.00
数据来源:通达信
