601991 大唐发电 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/10	4.10	4.13	4.05	4.09	2374584	10645676.00
2011/10/11	4.16	4.21	4.06	4.10	2191619	9904193.00
2011/10/12	4.09	4.27	4.03	4.22	6022055	27683692.00
2011/10/13	4.20	4.35	4.19	4.29	4681495	21873860.00
2011/10/14	4.28	4.28	4.21	4.24	2418414	11227090.00
2011/10/17	4.29	4.30	4.24	4.24	2028028	9438507.00
2011/10/18	4.20	4.22	4.10	4.11	2542699	11584176.00
2011/10/19	4.15	4.17	4.10	4.12	1433516	6409508.00
2011/10/20	4.11	4.19	4.01	4.06	2098689	9225704.00
2011/10/21	4.10	4.11	4.04	4.10	1381582	6067723.00
2011/10/24	4.10	4.26	4.05	4.24	2520555	11245505.00
2011/10/26	4.24	4.36	4.23	4.25	6093620	28149600.00
2011/10/27	4.26	4.48	4.26	4.35	12368016	58184808.00
2011/10/28	4.37	4.42	4.33	4.37	7872035	36932132.00
2011/10/31	4.37	4.49	4.30	4.47	7496009	35457872.00
2011/11/01	4.42	4.58	4.37	4.51	9092427	43852004.00
2011/11/02	4.42	4.63	4.37	4.62	9621544	46631436.00
2011/11/03	4.59	4.64	4.55	4.56	6732983	33133466.00
2011/11/04	4.55	4.59	4.53	4.56	3652416	17824802.00
2011/11/07	4.56	4.56	4.48	4.48	3777429	18320170.00
2011/11/08	4.47	4.67	4.45	4.56	8659901	42602464.00
2011/11/09	4.58	4.60	4.44	4.52	4627684	22397110.00
2011/11/10	4.50	4.67	4.44	4.55	7007121	34226484.00
2011/11/11	4.54	4.58	4.45	4.57	6628068	32088802.00
2011/11/14	4.63	4.67	4.60	4.64	7124933	35462396.00
2011/11/15	4.70	4.98	4.70	4.83	21474248	111350480.00
2011/11/16	4.83	4.87	4.59	4.63	9065680	45889628.00
2011/11/17	4.62	4.72	4.60	4.68	6941738	34676712.00
2011/11/18	4.66	4.66	4.47	4.48	4852043	23614030.00
2011/11/21	4.48	4.50	4.42	4.46	2245773	10754123.00
2011/11/22	4.43	4.55	4.40	4.53	4689671	22700808.00
2011/11/23	4.53	4.69	4.52	4.59	5501733	27263160.00
2011/11/24	4.55	4.56	4.46	4.52	2874082	13902281.00
2011/11/25	4.57	4.64	4.47	4.51	3000484	14690941.00
2011/11/28	4.51	4.60	4.43	4.48	3392729	16367948.00
2011/11/29	4.52	4.55	4.47	4.54	3746057	18144236.00
2011/11/30	4.58	4.59	4.17	4.30	7023154	33029508.00
2011/12/01	4.42	4.50	4.27	4.33	9452006	44346240.00
2011/12/02	4.31	4.31	4.13	4.16	4586077	20692296.00
2011/12/05	4.16	4.22	4.07	4.08	2764080	12299843.00
2011/12/07	4.07	4.15	4.07	4.12	2335179	10352884.00
2011/12/08	4.11	4.18	4.07	4.09	2426265	10806406.00
2011/12/09	4.10	4.13	4.08	4.11	2077832	9221947.00
2011/12/12	4.09	4.16	4.08	4.15	3127129	13945163.00
2011/12/13	4.14	4.19	4.07	4.17	8143406	36306916.00
2011/12/14	4.17	4.32	4.08	4.27	7682457	35267256.00
2011/12/15	4.22	4.55	4.18	4.40	15315655	72716248.00
2011/12/16	4.41	4.53	4.37	4.52	10191807	48595068.00
2011/12/19	4.52	4.56	4.41	4.47	6967325	33513596.00
2011/12/20	4.47	4.54	4.44	4.52	6653199	32202706.00
2011/12/21	4.52	4.71	4.49	4.54	12157354	60284720.00
2011/12/22	4.52	4.61	4.30	4.42	6098607	29012484.00
2011/12/23	4.43	4.61	4.39	4.59	6723260	32878100.00
2011/12/26	4.57	4.71	4.55	4.62	8985298	44817392.00
2011/12/27	4.61	4.91	4.55	4.70	11307170	57057388.00
2011/12/28	4.70	4.76	4.63	4.72	8187313	41155480.00
2011/12/29	4.72	4.75	4.63	4.66	6284323	31513726.00
2011/12/30	4.64	4.85	4.63	4.83	10216399	52387768.00
2012/01/04	4.84	5.06	4.79	4.92	14526838	76547752.00
2012/01/05	4.88	5.16	4.85	4.86	10234676	54208440.00
2012/01/06	4.87	5.09	4.86	4.95	7404871	39043180.00
2012/01/09	4.93	5.00	4.82	4.99	9136182	47813312.00
2012/01/10	4.97	4.97	4.85	4.94	17559134	92169064.00
2012/01/11	4.92	5.06	4.88	4.91	11564984	60994396.00
2012/01/12	4.86	4.93	4.79	4.81	7888662	40799112.00
2012/01/13	4.79	4.84	4.63	4.68	7307016	36771080.00
2012/01/16	4.66	4.72	4.59	4.64	3623478	18101486.00
2012/01/17	4.63	5.02	4.62	4.92	9094835	46903748.00
2012/01/18	4.91	4.91	4.75	4.77	5399970	27986248.00
2012/01/19	4.83	5.01	4.75	4.83	5490572	28607030.00
2012/01/20	4.89	4.95	4.82	4.88	3502534	18230754.00
2012/01/30	4.87	4.91	4.77	4.78	3363476	17257566.00
2012/01/31	4.78	4.91	4.77	4.87	2798917	14490656.00
2012/02/01	4.87	4.91	4.82	4.82	1916428	9957494.00
2012/02/02	4.85	4.93	4.82	4.89	3179821	16567401.00
2012/02/03	4.88	4.92	4.83	4.89	2804954	14601788.00
2012/02/06	4.91	4.97	4.86	4.89	3425269	17921080.00
2012/02/07	4.89	4.95	4.77	4.80	2842804	14709019.00
2012/02/08	4.79	4.94	4.74	4.90	3381473	17523834.00
2012/02/09	4.90	4.92	4.81	4.84	3777948	19564702.00
2012/02/10	4.82	4.87	4.76	4.81	4944797	25397062.00
2012/02/13	4.77	4.88	4.76	4.83	4304699	22161616.00
2012/02/14	4.81	4.85	4.78	4.81	2311172	11875101.00
2012/02/15	4.82	4.86	4.79	4.85	3636667	18804632.00
2012/02/16	4.85	5.17	4.82	5.09	18931270	100173400.00
2012/02/17	5.04	5.11	4.95	5.04	9489286	50886692.00
2012/02/20	5.10	5.12	5.00	5.01	3648661	19588508.00
2012/02/21	5.04	5.22	5.00	5.14	10853483	59210168.00
2012/02/22	5.14	5.15	5.05	5.13	5094230	27624736.00
2012/02/23	5.12	5.13	5.00	5.06	7374396	39649852.00
2012/02/24	5.06	5.10	5.01	5.08	6006448	32364710.00
2012/02/27	5.07	5.22	5.05	5.09	8604211	46930560.00
2012/02/28	5.12	5.32	5.07	5.27	16699000	92623008.00
2012/02/29	5.27	5.27	5.17	5.20	5061063	28007614.00
2012/03/01	5.22	5.25	5.17	5.22	2791975	15474472.00
2012/03/02	5.20	5.27	5.19	5.26	5225617	29110936.00
2012/03/05	5.28	5.29	5.10	5.11	8569705	47092208.00
2012/03/06	5.10	5.27	5.07	5.10	7981187	43810368.00
2012/03/07	5.08	5.15	5.05	5.07	3848728	20869618.00
2012/03/08	5.08	5.11	5.01	5.03	6144213	33079544.00
2012/03/09	5.03	5.12	5.03	5.09	3339810	18058156.00
2012/03/12	5.07	5.10	5.03	5.05	3574448	19272606.00
2012/03/13	5.06	5.09	5.03	5.07	2458857	13274451.00
2012/03/14	5.14	5.14	4.86	4.88	7216122	38628432.00
2012/03/15	4.92	5.02	4.85	4.91	5947283	31454906.00
2012/03/16	4.89	4.94	4.83	4.90	4546415	23703672.00
2012/03/19	4.88	4.89	4.79	4.83	5702692	29376516.00
2012/03/20	4.83	5.08	4.83	4.92	11164585	58982376.00
2012/03/21	4.92	5.02	4.91	4.97	9013469	47793844.00
2012/03/22	5.05	5.17	5.01	5.15	12979559	70596800.00
2012/03/23	5.11	5.27	5.08	5.16	14971855	82660264.00
2012/03/26	5.16	5.19	4.95	4.99	6747892	36292248.00
2012/03/27	4.95	4.99	4.82	4.87	4709304	24588044.00
2012/03/28	4.90	4.95	4.83	4.83	5188922	27179688.00
2012/03/29	4.86	5.02	4.75	4.77	5104590	26502316.00
2012/03/30	4.79	4.83	4.68	4.70	4112584	20787000.00
2012/04/05	4.67	4.77	4.64	4.75	5267222	26442182.00
2012/04/06	4.73	4.75	4.67	4.69	5514417	27641476.00
2012/04/09	4.67	4.69	4.59	4.62	3017187	14947060.00
2012/04/10	4.61	4.71	4.59	4.70	2017349	10028990.00
2012/04/11	4.69	4.71	4.56	4.63	5897952	29143012.00
