603000 人民网 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2012/04/27	14.98	17.28	14.98	16.84	47568898	1541491840.00
2012/05/02	16.98	18.57	16.86	18.57	19699320	718026112.00
2012/05/03	19.42	20.47	19.08	19.21	31913271	1281264256.00
2012/05/04	18.73	19.55	18.37	19.19	21230189	822971648.00
2012/05/07	19.05	20.91	18.71	19.98	21297332	859716416.00
2012/05/08	19.43	19.92	19.05	19.22	14277002	568915712.00
2012/05/09	18.98	20.20	18.73	19.82	13507172	545012288.00
2012/05/10	19.73	21.42	19.73	20.33	17557411	739805440.00
2012/05/11	20.18	20.92	19.99	20.86	11578719	487887232.00
2012/05/14	21.38	23.00	21.13	22.93	19679936	903041408.00
2012/05/15	22.60	23.41	22.28	23.28	13779948	643432064.00
2012/05/16	23.28	23.50	21.78	22.51	11461431	530334720.00
2012/05/17	22.09	22.23	21.41	21.81	13104125	583842368.00
2012/05/18	21.48	22.13	21.14	21.58	10982985	487675776.00
2012/05/21	21.70	21.78	20.07	20.13	13109119	553458624.00
2012/05/22	20.33	20.57	19.83	20.46	8743387	362690368.00
2012/05/23	20.27	20.47	20.05	20.14	6198846	256946112.00
2012/05/24	19.97	21.38	19.84	20.69	9506865	406459488.00
2012/05/25	20.68	21.23	20.08	20.40	6269971	264713488.00
2012/05/28	20.13	20.14	19.28	19.87	6502017	262115424.00
2012/05/29	19.68	20.53	19.53	20.23	6062761	250055280.00
2012/05/30	20.05	20.40	19.68	19.80	6057215	248015840.00
2012/05/31	19.48	20.26	19.36	19.98	6598755	268265168.00
2012/06/01	19.88	20.47	19.75	20.15	6128724	253666544.00
2012/06/04	19.49	20.08	19.48	19.69	4513400	183142288.00
2012/06/05	19.86	21.69	19.64	21.38	14129857	605263296.00
2012/06/06	21.03	21.61	21.00	21.34	10116388	441860992.00
2012/06/07	21.56	21.67	20.23	20.34	8778323	377036096.00
2012/06/08	20.38	20.69	19.91	20.20	6196304	259023776.00
2012/06/11	20.32	20.32	19.64	20.27	5489018	225061888.00
2012/06/12	20.22	20.23	19.78	19.99	3130143	128357048.00
2012/06/13	20.05	20.95	19.93	20.35	6634473	278502240.00
2012/06/14	20.23	20.76	19.98	20.40	5757130	241354976.00
2012/06/15	20.41	20.91	20.25	20.72	5886417	248366256.00
2012/06/18	20.89	21.85	20.83	21.54	9195603	405477888.00
2012/06/19	21.47	21.68	21.03	21.11	5857756	256764352.00
2012/06/20	21.27	22.23	21.20	21.77	8281579	369934656.00
2012/06/21	21.63	22.04	21.09	21.61	5992828	264248064.00
2012/06/25	21.36	22.22	21.18	21.77	7677276	344655872.00
2012/06/26	21.78	21.78	20.39	20.57	7363230	314173152.00
2012/06/27	20.48	20.61	19.98	20.01	5488663	228690800.00
2012/06/28	20.02	20.34	19.67	19.71	4742521	194553424.00
2012/06/29	19.55	20.12	19.53	19.99	3979587	162598064.00
2012/07/02	20.39	20.58	20.06	20.45	4082103	170218848.00
2012/07/03	20.53	20.62	20.12	20.24	4136819	172732176.00
2012/07/04	20.22	21.07	20.22	20.83	6039965	257393200.00
2012/07/05	20.69	20.74	19.83	19.84	6409055	264409632.00
2012/07/06	19.98	20.64	19.70	20.56	5742604	237740256.00
2012/07/09	20.41	20.68	19.88	20.17	4426406	184073728.00
2012/07/10	19.98	20.64	19.84	20.45	4873936	203721600.00
2012/07/11	20.32	20.42	19.93	20.10	3972828	163815392.00
2012/07/12	20.05	20.46	19.83	20.26	4985201	206257200.00
2012/07/13	20.11	20.13	19.63	19.74	5875128	239170848.00
2012/07/16	19.74	19.74	17.73	17.87	8450248	321998688.00
2012/07/17	17.73	17.85	17.04	17.54	4949448	177003408.00
2012/07/18	17.72	17.72	16.90	17.54	3968542	141413184.00
2012/07/19	17.34	18.08	17.33	17.78	4391064	160581520.00
2012/07/20	17.68	17.98	17.43	17.47	2288642	83503464.00
2012/07/23	16.98	16.98	15.98	16.42	4815670	162951824.00
