603001 奥康国际 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2012/04/26	22.15	23.65	21.65	22.80	17377716	407416512.00
2012/04/27	22.45	23.23	22.45	22.81	9647658	228526016.00
2012/05/02	22.89	23.30	22.30	23.19	8481874	200262880.00
2012/05/03	22.88	23.31	22.71	22.97	5393637	128663344.00
2012/05/04	22.95	23.96	22.95	23.39	5820257	141963120.00
2012/05/07	23.25	23.90	22.87	23.66	3871664	93809328.00
2012/05/08	23.51	23.81	23.23	23.41	3173380	77307968.00
2012/05/09	23.06	23.10	22.65	22.76	2786845	66009804.00
2012/05/10	22.70	23.01	22.70	22.88	2025845	48060996.00
2012/05/11	22.85	23.61	22.80	23.15	3054294	73887520.00
2012/05/14	23.35	24.24	22.97	23.87	5264395	129796216.00
2012/05/15	23.70	24.53	23.58	24.51	4834512	120784216.00
2012/05/16	24.33	24.70	23.96	24.02	4086471	103338832.00
2012/05/17	23.93	24.49	23.76	24.28	1657976	41499592.00
2012/05/18	24.15	24.79	24.01	24.63	5531841	140934944.00
2012/05/21	24.60	24.73	23.16	24.16	2820229	70361176.00
2012/05/22	23.99	24.65	23.82	24.50	2862027	72360104.00
2012/05/23	24.45	24.80	24.34	24.64	2463611	62682500.00
2012/05/24	24.55	24.75	23.90	23.91	2661589	66855712.00
2012/05/25	23.82	24.29	23.30	23.59	1474579	36170572.00
2012/05/28	23.59	24.31	23.13	24.12	1435598	35209288.00
2012/05/29	24.02	24.61	23.85	24.17	1782886	44762672.00
2012/05/30	23.90	24.15	23.71	23.96	1250581	30918408.00
2012/05/31	23.95	24.59	23.82	24.36	1826170	45972344.00
2012/06/01	24.23	24.70	24.21	24.64	2513177	63880976.00
2012/06/04	24.30	24.95	24.23	24.50	2337737	59594600.00
2012/06/05	24.54	24.83	24.34	24.67	3089069	78842144.00
2012/06/06	24.69	24.79	24.01	24.38	1365254	34561772.00
2012/06/07	24.41	24.75	24.25	24.58	1289141	32679310.00
2012/06/08	24.65	24.80	24.02	24.18	1512939	38399856.00
2012/06/11	24.05	24.57	23.76	24.54	1229616	30789054.00
2012/06/12	24.30	24.72	24.26	24.56	2158549	55002552.00
2012/06/13	24.57	26.13	24.56	25.83	7685809	202636880.00
2012/06/14	25.85	26.33	25.54	25.75	4605048	123185456.00
2012/06/15	25.82	26.11	25.15	25.53	3419922	90274208.00
2012/06/18	25.44	26.29	25.44	26.16	2978752	80037024.00
2012/06/19	26.05	26.39	25.86	26.20	2012388	54305756.00
2012/06/20	26.15	26.31	25.51	25.81	2295294	61209380.00
2012/06/21	25.74	26.79	25.65	26.54	2738596	74062576.00
2012/06/25	26.37	26.73	25.86	26.46	1619392	44075288.00
2012/06/26	26.20	26.49	25.23	26.03	2359723	63317852.00
2012/06/27	26.14	26.71	25.70	26.21	2052631	55727692.00
2012/06/29	25.73	26.27	25.54	26.06	2019436	54069496.00
2012/07/02	26.06	27.15	25.97	27.13	2445287	67252384.00
2012/07/03	27.05	27.65	26.75	27.24	1920662	54274976.00
2012/07/04	27.17	27.75	26.80	27.04	1111193	31183832.00
2012/07/05	26.93	27.05	26.36	26.50	1861237	51209916.00
