603003 龙宇燃油 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2012/08/17	12.45	12.95	10.57	10.65	44295526	528007040.00
2012/08/20	10.45	10.50	9.58	9.64	31047798	307275776.00
2012/08/21	9.55	10.01	9.53	9.75	20273075	198945056.00
2012/08/22	9.65	10.73	9.56	10.73	27505977	287130368.00
2012/08/23	10.72	11.80	10.57	11.20	29483159	333299936.00
2012/08/24	10.86	11.54	10.47	10.60	20645574	229696768.00
2012/08/27	10.24	10.43	9.54	9.96	15667010	155405472.00
2012/08/28	9.83	10.96	9.68	10.96	15248254	159573664.00
2012/08/29	11.15	11.84	11.00	11.19	24749945	281081568.00
2012/08/30	10.80	12.31	10.70	11.76	28152859	326373504.00
2012/08/31	11.43	12.12	11.25	11.46	20413950	239456752.00
2012/09/03	11.43	12.61	11.25	12.61	25434920	309154720.00
2012/09/04	12.45	13.88	12.35	13.23	31787215	410678688.00
2012/09/05	12.91	13.39	12.63	12.87	21516373	279869696.00
2012/09/06	12.87	13.33	12.66	13.06	18458734	240980864.00
2012/09/07	13.05	13.75	12.68	13.04	21561093	284241760.00
2012/09/10	13.04	13.70	12.83	13.40	20665275	275112512.00
2012/09/11	13.43	13.43	12.71	12.84	17267042	224526848.00
2012/09/12	12.76	13.05	12.20	12.69	14426942	182775968.00
2012/09/13	12.60	12.92	12.23	12.28	12014657	152690320.00
2012/09/14	12.43	12.80	12.15	12.43	11055871	138886416.00
2012/09/17	12.44	12.60	11.73	11.77	8756892	106352480.00
2012/09/18	11.70	11.89	11.57	11.71	6149488	72320616.00
2012/09/19	11.68	11.85	11.40	11.71	5792663	67534888.00
2012/09/20	11.59	11.68	10.70	10.80	8451731	94876840.00
2012/09/21	10.71	10.99	10.55	10.60	6173322	66793792.00
2012/09/24	10.51	10.92	10.25	10.83	6530580	69811312.00
2012/09/25	10.73	10.80	10.40	10.64	5087837	54157756.00
2012/09/26	10.54	11.06	10.47	10.66	8084363	87677336.00
2012/09/27	10.50	11.07	10.05	10.75	10108164	107954560.00
2012/09/28	10.60	10.98	10.54	10.85	6998055	75782144.00
2012/10/08	10.75	11.05	10.66	11.00	6328244	69254168.00
2012/10/09	10.95	11.47	10.91	11.35	10578949	119493880.00
2012/10/10	11.26	11.55	11.05	11.32	9993626	112852400.00
2012/10/11	11.24	11.24	10.50	10.53	8780288	95880608.00
2012/10/12	10.55	10.73	10.17	10.35	5779184	60537400.00
2012/10/15	10.33	10.55	10.05	10.45	4615486	47824112.00
2012/10/16	10.40	10.57	10.26	10.32	4056409	42468252.00
2012/10/17	10.42	10.53	10.30	10.49	3587164	37638832.00
2012/10/18	10.40	10.72	10.40	10.61	5830927	61849804.00
2012/10/19	10.56	10.63	10.33	10.35	4277098	44887332.00
2012/10/22	10.22	10.33	10.09	10.25	3857839	39470392.00
2012/10/23	10.25	10.40	10.21	10.24	2874349	29748748.00
2012/10/24	10.14	10.20	9.98	10.00	3849712	39055684.00
2012/10/25	10.04	10.15	9.89	9.94	3015214	30361784.00
2012/10/26	9.95	10.01	9.55	9.65	3642885	35538184.00
2012/10/29	9.56	9.72	9.55	9.66	1870516	18107414.00
2012/10/30	9.69	9.79	9.65	9.73	1899966	18575676.00
2012/10/31	9.69	9.70	9.11	9.36	3857949	36231856.00
2012/11/01	9.33	9.60	9.31	9.55	3246589	31023504.00
2012/11/02	9.53	9.69	9.47	9.55	2696605	25922618.00
2012/11/05	9.54	9.98	9.38	9.96	5422741	52734288.00
2012/11/06	9.86	9.99	9.70	9.78	4922215	48583232.00
2012/11/07	9.69	9.83	9.55	9.68	2498580	24338922.00
2012/11/08	9.47	9.52	9.12	9.15	3336143	31279062.00
2012/11/09	9.14	9.21	9.07	9.19	1706557	15690544.00
2012/11/12	9.16	9.34	9.11	9.31	2076718	19279950.00
2012/11/13	9.28	9.30	8.86	8.90	2455721	22341508.00
2012/11/14	8.84	9.53	8.82	9.23	4303810	39978944.00
2012/11/15	9.13	9.19	8.95	8.98	2575974	23400256.00
2012/11/16	9.00	9.31	8.98	9.10	2682055	24538924.00
2012/11/19	9.01	9.28	9.01	9.26	2354749	21649084.00
2012/11/20	9.29	9.35	9.12	9.17	2062102	19112972.00
2012/11/21	9.08	9.31	9.07	9.29	2505216	23216700.00
2012/11/22	9.21	10.21	9.13	9.95	14611599	145002784.00
2012/11/23	9.76	9.97	9.72	9.75	8459579	83440880.00
2012/11/26	9.73	10.03	9.68	9.74	5618583	55529720.00
2012/11/27	9.75	9.75	8.76	8.78	7172645	65582000.00
2012/11/28	8.56	8.84	8.30	8.38	4733363	40609560.00
2012/11/29	8.45	8.49	7.89	8.02	3623509	30025196.00
2012/11/30	7.97	8.28	7.95	8.20	2823187	23184094.00
2012/12/03	8.11	8.23	7.67	7.84	2898112	23272556.00
2012/12/04	7.76	8.10	7.71	8.07	2807308	22296084.00
2012/12/05	7.96	8.52	7.96	8.35	4879855	40821168.00
2012/12/06	8.34	8.40	8.14	8.26	3201378	26544842.00
2012/12/07	8.20	8.53	8.20	8.52	4628129	39203472.00
2012/12/10	8.42	8.92	8.42	8.80	6508200	56859628.00
2012/12/11	8.77	8.83	8.53	8.61	4591844	40056792.00
2012/12/12	8.62	8.67	8.34	8.51	3773305	32176876.00
2012/12/13	8.46	8.57	8.30	8.32	2990251	25363516.00
2012/12/14	8.32	9.16	8.26	8.89	9384066	83317640.00
2012/12/17	8.85	9.14	8.77	9.11	8523667	76635808.00
2012/12/18	9.00	9.10	8.87	8.92	5412687	48888216.00
