603009 北特科技 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2014/07/18	8.19	9.87	8.19	9.87	80400	806028.00
2014/07/21	10.88	10.88	10.88	10.88	44935	498779.00
2014/07/22	11.99	11.99	11.99	11.99	51200	625152.00
2014/07/23	13.21	13.21	13.21	13.21	124684	1674506.00
2014/07/24	14.55	14.55	14.55	14.55	225340	3328272.00
2014/07/25	16.03	16.03	16.03	16.03	294569	4786746.00
2014/07/28	17.66	17.66	17.66	17.66	374603	6697902.00
2014/07/29	19.45	19.45	19.45	19.45	721802	14197845.00
2014/07/30	21.42	21.42	21.42	21.42	7083122	153278752.00
2014/07/31	22.58	23.58	21.66	23.58	19619906	449046976.00
2014/08/01	23.88	25.96	23.77	25.96	13180825	331336448.00
2014/08/04	26.86	28.34	24.78	26.19	20007952	532342272.00
2014/08/05	25.09	25.77	24.65	24.88	10588741	267549760.00
2014/08/06	24.18	24.66	23.91	24.44	8632684	210698896.00
2014/08/07	24.38	24.64	23.88	24.05	6350914	154764640.00
2014/08/08	23.78	23.94	23.44	23.49	5821211	138805952.00
2014/08/11	23.51	23.73	23.30	23.65	4088878	97344512.00
2014/08/12	23.60	23.60	23.01	23.12	5243856	122675160.00
2014/08/13	23.12	23.13	22.66	22.77	4109106	94647936.00
2014/08/14	22.73	23.05	22.38	22.72	3897357	89346512.00
2014/08/15	22.64	22.86	22.43	22.72	2781062	63510272.00
2014/08/18	22.77	23.13	22.76	23.04	3756616	87129072.00
2014/08/19	23.08	24.63	22.96	24.50	10750959	261215280.00
2014/08/20	24.58	26.60	23.61	25.58	11279230	285602560.00
2014/08/21	24.77	25.18	24.03	24.24	6436164	159198480.00
2014/08/22	23.84	24.16	23.38	23.49	4742813	112943120.00
2014/08/25	23.61	23.99	23.24	23.65	3238635	77199272.00
2014/08/26	23.47	23.47	22.59	22.61	3165298	73215344.00
2014/08/27	22.77	23.11	22.70	22.88	1251314	28908380.00
