603015 弘讯科技 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2015/03/03	12.72	15.26	12.72	15.26	42000	638126.00
2015/03/04	16.79	16.79	16.79	16.79	17800	298862.00
2015/03/05	18.47	18.47	18.47	18.47	14300	264121.00
2015/03/06	20.32	20.32	20.32	20.32	60300	1225296.00
2015/03/09	22.35	22.35	22.35	22.35	825801	18456652.00
2015/03/10	23.87	23.87	22.51	22.82	29217480	675128384.00
2015/03/11	21.70	24.88	21.60	23.59	21317847	489618528.00
2015/03/12	23.12	23.49	21.70	21.75	15028708	335853280.00
2015/03/13	21.75	22.32	21.50	21.89	7555311	165454336.00
2015/03/16	22.10	22.79	22.09	22.50	7914406	177316480.00
2015/03/17	22.68	22.85	22.20	22.63	8553427	192110848.00
2015/03/18	22.55	24.89	22.55	24.89	14136434	337416288.00
2015/03/19	26.88	26.93	25.29	25.90	19108485	500615136.00
2015/03/20	24.60	25.56	24.40	25.14	12383084	309960384.00
2015/03/23	25.16	25.69	24.80	25.30	7792510	196938624.00
2015/03/24	25.53	26.06	24.50	25.47	9352311	237425200.00
2015/03/25	25.10	25.90	24.91	25.45	7185525	182194256.00
2015/03/26	25.35	25.91	24.80	25.01	8096599	204553024.00
2015/03/27	24.80	25.24	24.30	25.08	5460392	134729408.00
2015/03/30	25.00	25.25	24.60	24.78	3689759	91626672.00
2015/03/31	24.51	25.09	24.50	24.61	4125207	101676736.00
2015/04/01	24.59	25.10	24.36	25.06	5673770	140345856.00
2015/04/02	25.10	25.68	24.89	25.25	5959605	150550784.00
2015/04/03	25.21	26.15	25.00	26.10	10092058	257831200.00
2015/04/07	26.00	26.78	25.80	26.66	9224804	242242112.00
2015/04/08	26.77	28.00	26.28	27.23	9358366	254075152.00
2015/04/09	27.00	27.43	25.59	26.15	6649555	174569952.00
2015/04/10	26.05	26.68	25.73	26.40	5497917	145215264.00
2015/04/13	26.63	28.28	26.27	27.99	9091145	249282320.00
2015/04/14	27.65	29.50	27.50	29.35	9971111	282469088.00
2015/04/15	29.20	30.23	27.78	28.29	8044994	233013776.00
2015/04/16	28.28	29.33	27.20	28.37	5642197	160660400.00
2015/04/17	28.30	28.59	27.60	27.72	5114136	143197952.00
2015/04/20	27.38	27.40	25.63	25.71	6723525	178431472.00
2015/04/21	25.70	26.85	25.70	26.62	3582622	94450696.00
2015/04/22	26.80	27.38	26.72	27.09	4148279	112443456.00
2015/04/23	27.37	27.49	26.67	27.11	4052002	109450968.00
2015/04/24	27.00	27.02	26.25	26.79	4023799	107395088.00
2015/04/27	26.85	27.76	26.76	27.68	5976562	162938272.00
2015/04/28	27.88	28.75	26.89	27.26	6435271	179172784.00
2015/04/29	27.01	27.88	26.29	27.44	4522804	123745960.00
2015/04/30	27.30	28.50	27.30	27.56	5289502	148107024.00
2015/05/05	27.29	27.29	27.29	27.29	0	0.00
数据来源:通达信
