603018 设计股份 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2014/10/13	38.71	46.45	38.71	46.45	48500	2228831.00
2014/10/14	51.10	51.10	51.10	51.10	25400	1297940.00
2014/10/15	56.21	56.21	56.21	56.21	39500	2220295.00
2014/10/16	61.83	61.83	61.83	61.83	286049	17686410.00
2014/10/17	64.44	64.44	56.50	58.56	12885531	765033536.00
2014/10/20	57.50	58.30	56.65	57.09	5646309	324043776.00
2014/10/21	57.08	60.45	56.78	59.41	6611228	388433024.00
2014/10/22	59.31	60.20	57.62	57.83	4738704	279520928.00
2014/10/23	57.35	57.98	56.89	57.38	2754712	157885728.00
2014/10/24	57.45	57.87	56.76	56.90	2515909	143973392.00
2014/10/27	56.70	56.70	53.94	53.98	3423694	187114240.00
2014/10/28	54.80	56.45	54.80	56.15	2550197	142383664.00
2014/10/29	56.35	58.55	56.15	58.24	3985051	229243040.00
2014/10/30	58.02	59.19	57.70	58.76	3803458	222780832.00
2014/10/31	58.80	64.30	58.50	62.39	5500298	338121536.00
2014/11/03	62.78	64.90	62.00	62.97	4349617	276399968.00
2014/11/04	62.60	67.68	62.15	66.82	5633909	368418368.00
2014/11/05	65.78	66.92	64.50	65.49	3546186	233012768.00
2014/11/06	65.06	70.16	65.06	69.03	4919636	336110272.00
2014/11/07	69.05	72.01	67.00	68.16	5190785	361041088.00
2014/11/10	68.37	72.30	68.37	71.16	3716125	262297232.00
2014/11/11	70.96	71.16	68.09	69.19	3850042	267281248.00
2014/11/12	69.19	73.28	68.67	72.85	4476933	320813312.00
2014/11/13	70.75	73.50	70.40	71.72	3639557	261724960.00
2014/11/14	71.60	72.42	64.82	65.61	5460417	368048256.00
2014/11/17	65.02	67.25	64.30	65.61	2472985	163280320.00
2014/11/18	65.64	67.77	65.08	67.44	2354660	157438528.00
2014/11/19	67.11	67.38	65.51	66.43	1723528	114402384.00
2014/11/20	65.77	67.90	65.25	67.28	1911077	127893120.00
2014/11/21	67.00	68.30	66.81	67.15	2260547	152680512.00
2014/11/24	68.10	68.39	67.00	67.40	2349300	158936992.00
2014/11/25	67.21	67.75	65.01	65.74	2843605	187614064.00
2014/11/26	65.81	67.35	65.71	66.55	1608040	107208456.00
2014/11/27	67.26	72.00	67.11	69.84	3118682	217866096.00
2014/11/28	69.62	70.68	68.73	69.55	2358378	164465760.00
2014/12/01	70.00	71.63	68.68	70.54	2065745	144636640.00
2014/12/02	70.15	74.95	70.10	74.01	4159537	305088352.00
2014/12/03	73.70	75.50	72.00	74.53	3092395	227164448.00
2014/12/04	74.70	74.70	72.80	73.00	2515161	184099664.00
2014/12/05	72.50	72.50	69.18	69.24	3452717	243564416.00
2014/12/08	68.68	68.68	67.00	67.21	2115035	143300000.00
2014/12/09	66.50	67.43	63.11	63.26	2874501	188462768.00
2014/12/10	63.60	66.50	63.01	65.70	1614965	105278264.00
2014/12/11	65.51	66.46	64.58	66.18	1212852	79416376.00
2014/12/12	65.99	66.42	64.81	66.12	892180	58594560.00
2014/12/15	65.78	67.71	65.08	67.31	1359494	90962488.00
2014/12/16	67.20	67.67	65.44	65.99	1264446	83774152.00
2014/12/17	65.89	65.89	63.20	63.92	1581736	101575304.00
2014/12/18	63.83	64.55	62.65	62.68	1124324	71335840.00
2014/12/19	62.00	63.50	60.00	60.50	1519691	92813736.00
2014/12/22	59.85	59.87	56.35	56.93	1305977	74869088.00
2014/12/23	57.31	60.68	57.01	58.74	1318299	77867328.00
2014/12/24	59.18	62.40	59.18	61.83	1614366	98977048.00
2014/12/25	61.75	62.58	60.80	62.01	1014936	62446492.00
2014/12/26	61.90	63.23	61.21	62.14	832979	51867960.00
2014/12/29	61.70	61.70	59.13	60.24	995808	59814172.00
2014/12/30	60.49	60.80	58.88	59.47	744205	44362876.00
2014/12/31	60.00	60.23	58.50	59.94	845121	50269776.00
2015/01/05	59.58	59.58	57.25	58.17	997608	57747256.00
2015/01/06	57.58	60.49	57.58	60.20	1216959	72162368.00
2015/01/07	60.01	60.17	58.60	59.14	865138	51133800.00
2015/01/08	58.78	59.65	58.58	58.61	583419	34489716.00
2015/01/09	58.30	59.17	57.70	57.73	774379	45212812.00
2015/01/12	57.50	57.51	55.10	55.41	1209830	67565296.00
2015/01/13	55.51	57.65	55.48	57.20	1087159	61453640.00
2015/01/14	57.25	57.39	56.10	56.72	937387	52878424.00
2015/01/15	56.80	57.88	56.36	57.11	637201	36384760.00
2015/01/16	57.11	59.44	57.01	58.84	981021	57301136.00
2015/01/19	58.40	60.69	57.00	58.86	1516832	89751536.00
2015/01/20	59.01	61.59	59.01	61.01	2213519	134446256.00
2015/01/21	61.12	61.86	60.55	61.37	1575471	96121256.00
2015/01/22	61.40	62.59	61.10	61.98	1202479	74480928.00
2015/01/23	61.97	62.89	60.28	60.60	1462694	90256240.00
2015/01/26	60.00	61.41	59.70	60.81	964471	58483920.00
2015/01/27	60.86	60.98	59.51	60.37	889652	53530528.00
2015/01/28	60.00	60.71	59.65	60.22	566005	34104068.00
2015/01/29	59.88	60.26	59.18	59.40	594304	35436056.00
2015/01/30	59.62	59.70	58.55	58.58	470856	27843544.00
2015/02/02	58.06	58.76	57.36	58.04	584556	33935912.00
2015/02/03	58.29	60.03	58.29	59.98	754477	44827672.00
2015/02/04	60.05	60.49	58.92	59.00	649798	38708456.00
2015/02/05	59.40	59.45	57.98	58.00	736080	43165284.00
2015/02/06	57.72	57.88	56.15	56.39	865050	49128344.00
2015/02/09	56.39	57.30	56.03	56.20	436634	24673508.00
2015/02/10	56.28	57.05	56.03	57.02	507771	28714572.00
2015/02/11	57.00	57.26	56.82	57.11	429077	24473516.00
2015/02/12	57.29	59.50	57.20	59.07	847314	49851308.00
2015/02/13	59.35	60.00	59.27	59.47	640751	38187108.00
2015/02/16	60.01	60.19	59.21	59.99	595513	35576364.00
2015/02/17	60.10	60.10	59.33	59.37	527451	31410120.00
2015/02/25	59.47	59.47	58.09	58.41	522690	30573088.00
2015/02/26	58.30	61.78	58.10	61.74	1678046	101659608.00
2015/02/27	61.74	61.74	60.81	61.69	1022331	62617344.00
2015/03/03	64.00	67.09	62.83	62.96	3759264	244579904.00
2015/03/04	62.17	63.63	61.81	63.28	1445626	90919904.00
2015/03/05	63.05	63.11	61.95	62.39	1190078	74193464.00
2015/03/06	62.99	65.40	62.42	64.26	1458896	93233848.00
2015/03/09	63.92	63.92	62.00	63.52	800854	50369340.00
2015/03/10	63.05	63.88	62.73	62.93	759780	48009220.00
2015/03/11	63.01	63.16	62.16	62.31	771420	48249732.00
2015/03/12	62.34	62.90	61.50	61.98	833944	51804392.00
2015/03/13	62.30	63.30	62.30	62.89	943231	59173924.00
2015/03/16	63.50	65.12	63.50	64.89	1980669	127781784.00
2015/03/17	65.38	65.54	64.46	64.99	1205681	78277984.00
2015/03/18	65.00	66.46	64.83	66.38	1526003	100712280.00
2015/03/19	66.08	66.60	65.65	66.26	1166997	77133880.00
2015/03/20	66.61	68.58	66.61	67.36	1239784	83797184.00
2015/03/23	67.72	69.88	67.72	69.64	1740170	119958016.00
2015/03/24	69.39	70.80	66.86	69.03	2276559	156865008.00
2015/03/25	69.20	75.93	69.20	75.93	3965752	294471136.00
2015/03/26	78.10	78.10	73.00	75.35	2953868	223682240.00
2015/03/27	74.01	82.88	74.01	80.22	3915534	309315904.00
2015/03/30	72.20	74.72	72.20	72.20	5524504	401312896.00
2015/03/31	70.82	70.82	68.23	69.90	3933508	274201536.00
2015/04/01	69.52	71.68	69.50	70.75	2291659	161540752.00
2015/04/02	70.65	71.74	70.03	70.94	2440283	172821296.00
2015/04/03	70.71	78.03	70.30	78.03	5333060	396208096.00
2015/04/07	80.94	82.38	78.56	79.92	4584159	368240544.00
2015/05/05	79.92	79.92	79.92	79.92	0	0.00
数据来源:通达信
